# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381334811419e-10       4.175593337503e-15       3.515670010586e-13       0.000000000000e+00       8.285921248906e-09       4.560789193320e-10      -1.840536249479e-12 
    3       1.306077395938e-10       5.350272951941e-15       3.951458564986e-13       0.000000000000e+00       5.086942451516e-09       3.225635267466e-10      -1.393792974485e-12 
    4       1.235420576643e-10       4.625819895258e-15       3.695227635650e-13       0.000000000000e+00       3.522957969066e-09       2.438393869132e-10      -9.121458096958e-13 
    5       1.182580705942e-10       3.084257557339e-15       3.146795125368e-13       0.000000000000e+00       2.621498109158e-09       1.923916731919e-10      -5.066438959959e-13 
    6       1.146366791750e-10       1.723612768710e-15       2.534366302355e-13       0.000000000000e+00       2.042579003296e-09       1.563933704413e-10      -2.079556034449e-13 
    7       1.122781559343e-10       9.311389346485e-16       1.989901114358e-13       0.000000000000e+00       1.644354798006e-09       1.299927666161e-10      -1.757525915611e-14 
    8       1.109028934548e-10       6.009310757187e-16       1.571121186052e-13       0.000000000000e+00       1.356592602834e-09       1.099877825479e-10       7.944459277993e-14 
    9       1.102628524278e-10       4.823436111333e-16       1.290817048922e-13       0.000000000000e+00       1.140656957317e-09       9.448149744874e-11       1.064459498598e-13 
   10       1.101274935608e-10       4.106946733365e-16       1.135745842598e-13       0.000000000000e+00       9.737581141901e-10       8.220672474012e-11       8.927583259053e-14 
   11       1.104380174339e-10       3.446088431293e-16       1.079326112942e-13       0.000000000000e+00       8.334434298604e-10       7.302028633946e-11       5.202267115288e-14 
   12       1.110429536266e-10       2.997401506654e-16       1.090984925110e-13       0.000000000000e+00       7.284078060750e-10       6.456623213218e-11       1.226568835382e-14 
