# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381339543704e-10       4.175825596213e-15       3.515669971863e-13       2.322586834142e-19       8.285921248906e-09       4.560789193320e-10      -1.840536249479e-12 
    3       1.306086837551e-10       5.350737573551e-15       3.951458392296e-13       4.646213525932e-19       5.086942451516e-09       3.225635267466e-10      -1.393792974485e-12 
    4       1.235436262276e-10       4.626594494061e-15       3.695227138995e-13       7.745975381191e-19       3.522957969066e-09       2.438393869132e-10      -9.121458096958e-13 
    5       1.182604141402e-10       3.085419880777e-15       3.146793992665e-13       1.162319117119e-18       2.621498109158e-09       1.923916731919e-10      -5.066438959959e-13 
    6       1.146399448166e-10       1.725240725756e-15       2.534364072136e-13       1.627945302916e-18       2.042579003296e-09       1.563933704413e-10      -2.079556034449e-13 
    7       1.122824868260e-10       9.333106210322e-16       1.989897150456e-13       2.171659179708e-18       1.644354798006e-09       1.299927666161e-10      -1.757525915611e-14 
    8       1.109084283993e-10       6.037247954833e-16       1.571114654588e-13       2.793663819485e-18       1.356592602834e-09       1.099877825479e-10       7.944459277993e-14 
    9       1.102697255891e-10       4.858378940628e-16       1.290806897847e-13       3.494178113243e-18       1.140656957317e-09       9.448149744874e-11       1.064459498598e-13 
   10       1.101358342847e-10       4.149682878739e-16       1.135730783974e-13       4.273432456565e-18       9.737581141901e-10       8.220672474012e-11       8.927583259053e-14 
   11       1.104479501774e-10       3.497408044740e-16       1.079304608111e-13       5.131664432190e-18       8.334434298604e-10       7.302028633946e-11       5.202267115288e-14 
   12       1.110545979911e-10       3.058097238254e-16       1.090955172813e-13       6.069114629300e-18       7.284078060750e-10       6.456623213218e-11       1.226568835382e-14 
   13       1.119053824463e-10       2.941688963389e-16       1.143863707519e-13       7.086022731010e-18       6.421587983514e-10       5.769990187477e-11      -1.799999048263e-14 
   14       1.129532091882e-10       3.068458911087e-16       1.217828725911e-13       8.182623988292e-18       5.703838805581e-10       5.172016736599e-11      -3.451794179297e-14 
   15       1.141847391912e-10       3.321027105174e-16       1.299963446910e-13       9.359146180929e-18       5.099592919222e-10       4.669006092521e-11      -3.749772385993e-14 
   16       1.155247303219e-10       3.674192846041e-16       1.383645818325e-13       1.061580714468e-17       4.585736164516e-10       4.235382283319e-11      -3.090281998167e-14 
   17       1.170010678228e-10       4.183329022003e-16       1.466659781739e-13       1.195281291968e-17       4.144843728537e-10       3.856915203941e-11      -1.993083219298e-14 
   18       1.185504546617e-10       4.902693921200e-16       1.551613992922e-13       1.337035625622e-17       3.762142870718e-10       3.526863103721e-11      -9.467953253929e-15 
   19       1.201841723105e-10       5.835530143210e-16       1.640741037454e-13       1.486861752941e-17       3.431462184447e-10       3.240472608198e-11      -2.114138448121e-15 
   20       1.218950583681e-10       6.961827504263e-16       1.735440524693e-13       1.644776162450e-17       3.140200066149e-10       2.986231077329e-11       4.241371047451e-16 
   21       1.236842925481e-10       8.275240083086e-16       1.835220975291e-13       1.810794284954e-17       2.883778104537e-10       2.759545830523e-11      -1.288760350795e-15 
   22       1.255256871281e-10       9.770914799145e-16       1.938198004754e-13       1.984930152970e-17       2.656025539049e-10       2.554756053784e-11      -5.507885588708e-15 
   23       1.274257248044e-10       1.145054506901e-15       2.041141485501e-13       2.167197077385e-17       2.453895823905e-10       2.371025418941e-11      -1.047975470829e-14 
   24       1.293788444584e-10       1.331628056476e-15       2.139927093840e-13       2.357607251016e-17       2.272776329682e-10       2.206689476237e-11      -1.433722793660e-14 
   25       1.313798182842e-10       1.537027817289e-15       2.231477203727e-13       2.556172448992e-17       2.110211836758e-10       2.059489912945e-11      -1.626948958662e-14 
   26       1.334109013947e-10       1.761625192481e-15       2.313154302891e-13       2.762903766027e-17       1.963022436720e-10       1.925700214944e-11      -1.595139659947e-14 
