# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381334703598e-10       4.175594323935e-15       3.515670922448e-13       0.000000000000e+00       8.285921649893e-09       4.560787707405e-10      -1.840536580500e-12 
    3       1.306077902311e-10       5.350273753129e-15       3.951459701842e-13       0.000000000000e+00       5.086942050524e-09       3.225637485393e-10      -1.393793149701e-12 
    4       1.235421168733e-10       4.625819947982e-15       3.695227410119e-13       0.000000000000e+00       3.522956584465e-09       2.438397023290e-10      -9.121457874277e-13 
    5       1.182580634695e-10       3.084257661739e-15       3.146794975035e-13       0.000000000000e+00       2.621495958211e-09       1.923915247626e-10      -5.066439002368e-13 
    6       1.146365570181e-10       1.723612815480e-15       2.534366527176e-13       0.000000000000e+00       2.042576426747e-09       1.563929026195e-10      -2.079556147827e-13 
    7       1.122782259650e-10       9.311389483539e-16       1.989901352840e-13       0.000000000000e+00       1.644350796806e-09       1.299927130165e-10      -1.757526366288e-14 
    8       1.109030160787e-10       6.009310830955e-16       1.571121800757e-13       0.000000000000e+00       1.356587947427e-09       1.099882747437e-10       7.944460377745e-14 
    9       1.102628846680e-10       4.823436528688e-16       1.290818267761e-13       0.000000000000e+00       1.140651178906e-09       9.448177872753e-11       1.064459640939e-13 
   10       1.101275454261e-10       4.106947233917e-16       1.135745741084e-13       0.000000000000e+00       9.737500348325e-10       8.220635885099e-11       8.927582991106e-14 
   11       1.104379497680e-10       3.446088469614e-16       1.079324684982e-13       0.000000000000e+00       8.334434244416e-10       7.301986098819e-11       5.202265422665e-14 
   12       1.110430150507e-10       2.997401332240e-16       1.090985774801e-13       0.000000000000e+00       7.284078010876e-10       6.456641730382e-11       1.226568601889e-14 
   13       1.118922089949e-10       2.870821936689e-16       1.143905800739e-13       0.000000000000e+00       6.421587937318e-10       5.770038595955e-11      -1.799997040447e-14 
   14       1.129378512807e-10       2.986623238722e-16       1.217881556113e-13       0.000000000000e+00       5.703838762559e-10       5.172017371136e-11      -3.451793221298e-14 
   15       1.141671352214e-10       3.227422805696e-16       1.300032307177e-13       0.000000000000e+00       5.099592878966e-10       4.668958281592e-11      -3.749775018017e-14 
   16       1.155052937420e-10       3.568017566942e-16       1.383734018677e-13       0.000000000000e+00       4.585736126694e-10       4.235361542063e-11      -3.090285225453e-14 
   17       1.169793943837e-10       4.063779797022e-16       1.466768064288e-13       0.000000000000e+00       4.144843692870e-10       3.856953612938e-11      -1.993081991583e-14 
   18       1.185264127860e-10       4.768965240544e-16       1.551748242984e-13       0.000000000000e+00       3.762142862661e-10       3.526890503366e-11      -9.467910432659e-15 
   19       1.201576924068e-10       5.686815161869e-16       1.640906486836e-13       0.000000000000e+00       3.431462152432e-10       3.240451136003e-11      -2.114109088503e-15 
   20       1.218659493258e-10       6.797318870994e-16       1.735639224395e-13       0.000000000000e+00       3.140200027241e-10       2.986202734317e-11       4.241083992522e-16 
   21       1.236524897744e-10       8.094129440772e-16       1.835455845069e-13       0.000000000000e+00       2.883778075494e-10       2.759546302566e-11      -1.288829722653e-15 
   22       1.254913047603e-10       9.572393092257e-16       1.938474040523e-13       0.000000000000e+00       2.656025514035e-10       2.554782257540e-11      -5.507908070200e-15 
   23       1.273887433482e-10       1.123380439490e-15       2.041463313512e-13       0.000000000000e+00       2.453895797331e-10       2.371051010638e-11      -1.047970195379e-14 
