# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341744226e-10       4.175826773057e-15       3.515670808267e-13       2.323592819929e-19       8.285959804987e-09       4.560819974067e-10      -1.840536643447e-12 
    3       1.306090253482e-10       5.350738823632e-15       3.951459403636e-13       4.648063188665e-19       5.086968936183e-09       3.225668458269e-10      -1.393793195044e-12 
    4       1.235440073694e-10       4.626594994993e-15       3.695226975866e-13       7.748707603078e-19       3.522976272292e-09       2.438425223395e-10      -9.121458056440e-13 
    5       1.182607334242e-10       3.085420432691e-15       3.146794045170e-13       1.162665613601e-18       2.621510705571e-09       1.923939850100e-10      -5.066439193400e-13 
    6       1.146401461817e-10       1.725241321451e-15       2.534364589148e-13       1.628328769741e-18       2.042587635265e-09       1.563949559378e-10      -2.079556350827e-13 
    7       1.122828569678e-10       9.333111924457e-16       1.989897789163e-13       2.172020878072e-18       1.644359382589e-09       1.299943139514e-10      -1.757526978045e-14 
    8       1.109087584153e-10       6.037252173522e-16       1.571115561955e-13       2.793922911433e-18       1.356594591962e-09       1.099894075832e-10       7.944461222897e-14 
    9       1.102698329866e-10       4.858381116794e-16       1.290808085694e-13       3.494233479347e-18       1.140656432531e-09       9.448252597181e-11       1.064459767028e-13 
   10       1.101359011807e-10       4.149682325906e-16       1.135730493297e-13       4.273165952005e-18       9.737543393897e-10       8.220687066513e-11       8.927583863818e-14 
   11       1.104479137363e-10       3.497404101929e-16       1.079303143026e-13       5.130945461271e-18       8.334466120481e-10       7.302021186088e-11       5.202265706309e-14 
   12       1.110546979434e-10       3.058089978750e-16       1.090956268293e-13       6.067805846559e-18       7.284105753941e-10       6.456669555143e-11       1.226568260174e-14 
   13       1.119057006817e-10       2.941678177120e-16       1.143866229166e-13       7.083986613153e-18       6.421613110224e-10       5.770063373084e-11      -1.799996754672e-14 
   14       1.129532963201e-10       3.068443852859e-16       1.217829388026e-13       8.179729968429e-18       5.703862130564e-10       5.172041577455e-11      -3.451792137787e-14 
   15       1.141846456718e-10       3.321007171645e-16       1.299964696079e-13       9.355277997537e-18       5.099614563617e-10       4.668983141922e-11      -3.749774819568e-14 
   16       1.155249394300e-10       3.674167745030e-16       1.383648019471e-13       1.061087003456e-17       4.585756420349e-10       4.235384444334e-11      -3.090285387557e-14 
   17       1.170012575683e-10       4.183300385417e-16       1.466660569074e-13       1.194674027813e-17       4.144862520974e-10       3.856974643902e-11      -1.993081477870e-14 
   18       1.185506180787e-10       4.902662870866e-16       1.551615872953e-13       1.336311559875e-17       3.762160464324e-10       3.526911790864e-11      -9.467900404819e-15 
   19       1.201843444853e-10       5.835498099104e-16       1.640745545725e-13       1.486021422439e-17       3.431478774299e-10       3.240473015958e-11      -2.114100657950e-15 
   20       1.218951132173e-10       6.961796629524e-16       1.735445698702e-13       1.643824324996e-17       3.140215698504e-10       2.986222995795e-11       4.241085403233e-16 
   21       1.236842439807e-10       8.275212338593e-16       1.835225503345e-13       1.809739903226e-17       2.883792836268e-10       2.759564513025e-11      -1.288838324026e-15 
   22       1.255257577861e-10       9.770891742385e-16       1.938202464331e-13       1.983786463352e-17       2.656039472499e-10       2.554800865077e-11      -5.507918307618e-15 
   23       1.274259982635e-10       1.145052911409e-15       2.041145807678e-13       2.165981181100e-17       2.453909039278e-10       2.371071021807e-11      -1.047971044918e-14 
   24       1.293791670906e-10       1.331627508147e-15       2.139929981867e-13       2.356339802008e-17       2.272788857699e-10       2.206697101771e-11      -1.433717636750e-14 
