# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381337011369e-10       4.175594413840e-15       3.515670846735e-13       0.000000000000e+00       8.285959802800e-09       4.560819980235e-10      -1.840536642999e-12 
    3       1.306080810376e-10       5.350274016859e-15       3.951459575259e-13       0.000000000000e+00       5.086968934732e-09       3.225668452700e-10      -1.393793194887e-12 
    4       1.235424386014e-10       4.625820121506e-15       3.695227469822e-13       0.000000000000e+00       3.522976271170e-09       2.438425214274e-10      -9.121458060792e-13 
    5       1.182583895896e-10       3.084257757703e-15       3.146795173235e-13       0.000000000000e+00       2.621510704265e-09       1.923939856955e-10      -5.066439190251e-13 
    6       1.146368802276e-10       1.723612967216e-15       2.534366812809e-13       0.000000000000e+00       2.042587633656e-09       1.563949570095e-10      -2.079556335525e-13 
    7       1.122785254223e-10       9.311391122918e-16       1.989901739584e-13       0.000000000000e+00       1.644359380922e-09       1.299943129244e-10      -1.757526865686e-14 
    8       1.109032227482e-10       6.009311719211e-16       1.571122068303e-13       0.000000000000e+00       1.356594590480e-09       1.099894058597e-10       7.944461136703e-14 
    9       1.102629590026e-10       4.823436470820e-16       1.290818200334e-13       0.000000000000e+00       1.140656431149e-09       9.448252654781e-11       1.064459745743e-13 
   10       1.101275598101e-10       4.106946623699e-16       1.135745499104e-13       0.000000000000e+00       9.737543380871e-10       8.220687206614e-11       8.927583761461e-14 
   11       1.104379796499e-10       3.446088000887e-16       1.079324583390e-13       0.000000000000e+00       8.334466126424e-10       7.302021081719e-11       5.202265864823e-14 
   12       1.110430523179e-10       2.997401539032e-16       1.090985936620e-13       0.000000000000e+00       7.284105759619e-10       6.456669345161e-11       1.226568596985e-14 
   13       1.118922282511e-10       2.870822834545e-16       1.143906187994e-13       0.000000000000e+00       6.421613115738e-10       5.770063430503e-11      -1.799996474634e-14 
   14       1.129378876083e-10       2.986624392175e-16       1.217881996449e-13       0.000000000000e+00       5.703862135870e-10       5.172041767991e-11      -3.451792106109e-14 
   15       1.141671927842e-10       3.227423766293e-16       1.300032578024e-13       0.000000000000e+00       5.099614568660e-10       4.668983060448e-11      -3.749775068418e-14 
   16       1.155053416219e-10       3.568018169547e-16       1.383734079161e-13       0.000000000000e+00       4.585756425200e-10       4.235384199633e-11      -3.090285824690e-14 
   17       1.169794149361e-10       4.063780166574e-16       1.466768028785e-13       0.000000000000e+00       4.144862525672e-10       3.856974679178e-11      -1.993081989180e-14 
   18       1.185264351084e-10       4.768965399032e-16       1.551748204731e-13       0.000000000000e+00       3.762160469047e-10       3.526911896155e-11      -9.467905421620e-15 
   19       1.201577286683e-10       5.686815130262e-16       1.640906469521e-13       0.000000000000e+00       3.431478778676e-10       3.240472985691e-11      -2.114104834637e-15 
   20       1.218659736377e-10       6.797318737754e-16       1.735639184667e-13       0.000000000000e+00       3.140215701436e-10       2.986222931372e-11       4.241057952681e-16 
   21       1.236524916448e-10       8.094129309090e-16       1.835455788219e-13       0.000000000000e+00       2.883792836858e-10       2.759564508476e-11      -1.288839683401e-15 
   22       1.254913054368e-10       9.572393044977e-16       1.938474044271e-13       0.000000000000e+00       2.656039470542e-10       2.554800900615e-11      -5.507919062404e-15 
   23       1.273887599838e-10       1.123380443311e-15       2.041463386258e-13       0.000000000000e+00       2.453909035584e-10       2.371071054673e-11      -1.047971113864e-14 
   24       1.293390579746e-10       1.308051491275e-15       2.140298441649e-13       0.000000000000e+00       2.272788853989e-10       2.206697095535e-11      -1.433717696174e-14 
   25       1.313370052019e-10       1.511468164814e-15       2.231902724959e-13       0.000000000000e+00       2.110223709564e-10       2.059457579171e-11      -1.626948179938e-14 
   26       1.333649716827e-10       1.734001892090e-15       2.313640493788e-13       0.000000000000e+00       1.963033708910e-10       1.925674181826e-11      -1.595142577890e-14 
   27       1.354325532845e-10       1.977284423772e-15       2.384796465299e-13       0.000000000000e+00       1.830456664060e-10       1.804421415338e-11      -1.389536254459e-14 
   28       1.375424232360e-10       2.243572917392e-15       2.445486637517e-13       0.000000000000e+00       1.710886854362e-10       1.694157878787e-11      -1.110504592735e-14 
   29       1.396836559769e-10       2.535148618202e-15       2.496136626566e-13       0.000000000000e+00       1.601421989682e-10       1.592244687236e-11      -8.700296518664e-15 
   30       1.418628557250e-10       2.853103528224e-15       2.537229082004e-13       0.000000000000e+00       1.501459035432e-10       1.498577508159e-11      -7.069817754823e-15 
   31       1.440817462258e-10       3.198063457146e-15       2.569501848502e-13       0.000000000000e+00       1.410256260821e-10       1.413164519644e-11      -6.393754582434e-15 
   32       1.463322864609e-10       3.570600464166e-15       2.593631253765e-13       0.000000000000e+00       1.326371120007e-10       1.335309023353e-11      -6.759495422418e-15 
   33       1.486139451043e-10       3.971652032818e-15       2.608810536409e-13       0.000000000000e+00       1.249347086654e-10       1.264354853747e-11      -7.814635559095e-15 
   34       1.509203479113e-10       4.402246116138e-15       2.613633526010e-13       0.000000000000e+00       1.178502480738e-10       1.199070718146e-11      -8.971470879752e-15 
   35       1.532401990751e-10       4.863374293622e-15       2.606605564049e-13       0.000000000000e+00       1.112783374120e-10       1.137875287037e-11      -9.639299791069e-15 
   36       1.555804709975e-10       5.355938653767e-15       2.586702297326e-13       0.000000000000e+00       1.052019471728e-10       1.080559083243e-11      -9.755641192981e-15 
   37       1.579497701927e-10       5.880780814337e-15       2.552986854783e-13       0.000000000000e+00       9.960205845967e-11       1.027077727897e-11      -9.435352580169e-15 
   38       1.603513636034e-10       6.438691017775e-15       2.504455440235e-13       0.000000000000e+00       9.441969288058e-11       9.770556121665e-12      -8.833726568914e-15 
   39       1.627842589988e-10       7.030396132212e-15       2.440280301150e-13       0.000000000000e+00       8.957718996241e-11       9.299646032394e-12      -8.125271645760e-15 
   40       1.652484735783e-10       7.656528209812e-15       2.360650506574e-13       0.000000000000e+00       8.505973462791e-11       8.858101698576e-12      -7.424105060567e-15 
   41       1.677404714326e-10       8.317638683657e-15       2.266209463484e-13       0.000000000000e+00       8.085545726528e-11       8.446264214442e-12      -6.841401893417e-15 
   42       1.702510738280e-10       9.014201085188e-15       2.157845394918e-13       0.000000000000e+00       7.693110697295e-11       8.062707406852e-12      -6.508370440799e-15 
