# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341744328e-10       4.175826773081e-15       3.515670808606e-13       2.323592752034e-19       8.285959803474e-09       4.560819985813e-10      -1.840536643643e-12 
    3       1.306090253271e-10       5.350738823606e-15       3.951459403964e-13       4.648063052460e-19       5.086968935224e-09       3.225668451928e-10      -1.393793195111e-12 
    4       1.235440072751e-10       4.626594994884e-15       3.695226976187e-13       7.748707375173e-19       3.522976271585e-09       2.438425204067e-10      -9.121458054066e-13 
    5       1.182607334614e-10       3.085420432538e-15       3.146794045265e-13       1.162665579253e-18       2.621510704875e-09       1.923939855830e-10      -5.066439192689e-13 
    6       1.146401462588e-10       1.725241321288e-15       2.534364588476e-13       1.628328721393e-18       2.042587634638e-09       1.563949581294e-10      -2.079556354360e-13 
    7       1.122828569371e-10       9.333111923108e-16       1.989897788357e-13       2.172020813223e-18       1.644359382186e-09       1.299943132685e-10      -1.757527016594e-14 
    8       1.109087581878e-10       6.037252172305e-16       1.571115561844e-13       2.793922827524e-18       1.356594591565e-09       1.099894049093e-10       7.944461230847e-14 
    9       1.102698330408e-10       4.858381115999e-16       1.290808085663e-13       3.494233373766e-18       1.140656432163e-09       9.448252650456e-11       1.064459772217e-13 
   10       1.101359013637e-10       4.149682325413e-16       1.135730494022e-13       4.273165822091e-18       9.737543392262e-10       8.220687354999e-11       8.927583912993e-14 
   11       1.104479136674e-10       3.497404100383e-16       1.079303143505e-13       5.130945304328e-18       8.334466105900e-10       7.302021138319e-11       5.202265713647e-14 
   12       1.110546976098e-10       3.058089977569e-16       1.090956267625e-13       6.067805659868e-18       7.284105740515e-10       6.456669227726e-11       1.226568221968e-14 
   13       1.119057006321e-10       2.941678175299e-16       1.143866230102e-13       7.083986393989e-18       6.421613097567e-10       5.770063395548e-11      -1.799996817590e-14 
   14       1.129532967180e-10       3.068443847120e-16       1.217829388016e-13       8.179729714076e-18       5.703862118419e-10       5.172041928281e-11      -3.451792198168e-14 
   15       1.141846454928e-10       3.321007165393e-16       1.299964694917e-13       9.355277705307e-18       5.099614552289e-10       4.668983144260e-11      -3.749774855692e-14 
   16       1.155249391290e-10       3.674167741460e-16       1.383648017922e-13       1.061086970180e-17       4.585756409831e-10       4.235384063673e-11      -3.090285395011e-14 
   17       1.170012572227e-10       4.183300381418e-16       1.466660568897e-13       1.194673990227e-17       4.144862511139e-10       3.856974597460e-11      -1.993081471397e-14 
   18       1.185506177337e-10       4.902662866712e-16       1.551615872783e-13       1.336311517728e-17       3.762160455025e-10       3.526911962833e-11      -9.467900316647e-15 
   19       1.201843440827e-10       5.835498095918e-16       1.640745544642e-13       1.486021375488e-17       3.431478765492e-10       3.240473106680e-11      -2.114100578699e-15 
   20       1.218951125045e-10       6.961796627246e-16       1.735445697757e-13       1.643824273008e-17       3.140215690269e-10       2.986222913966e-11       4.241086525883e-16 
   21       1.236842429823e-10       8.275212336080e-16       1.835225502966e-13       1.809739845977e-17       2.883792828668e-10       2.759564363450e-11      -1.288838198175e-15 
   22       1.255257568756e-10       9.770891737773e-16       1.938202463517e-13       1.983786400627e-17       2.656039465516e-10       2.554800895715e-11      -5.507918272487e-15 
   23       1.274259973949e-10       1.145052910715e-15       2.041145805556e-13       2.165981112694e-17       2.453909032783e-10       2.371071231325e-11      -1.047971050554e-14 
   24       1.293791656872e-10       1.331627507415e-15       2.139929978376e-13       2.356339727723e-17       2.272788851465e-10       2.206697155237e-11      -1.433717637152e-14 
   25       1.313800670577e-10       1.537028531520e-15       2.231478312048e-13       2.554876822424e-17       2.110223706286e-10       2.059457381347e-11      -1.626948132416e-14 
   26       1.334110714000e-10       1.761627196133e-15       2.313154892733e-13       2.761605599595e-17       1.963033705330e-10       1.925673889245e-11      -1.595142557860e-14 
   27       1.354817733085e-10       2.007054987031e-15       2.384244292881e-13       2.976538575398e-17       1.830456660735e-10       1.804421207999e-11      -1.389536266539e-14 
   28       1.375948443504e-10       2.275568730365e-15       2.444862392038e-13       3.199686899069e-17       1.710886851441e-10       1.694157845481e-11      -1.110504620021e-14 
   29       1.397393573361e-10       2.569449273578e-15       2.495434713996e-13       3.431060373484e-17       1.601421986902e-10       1.592244812725e-11      -8.700296591202e-15 
   30       1.419219152591e-10       2.889788184589e-15       2.536443840269e-13       3.670668683969e-17       1.501459032554e-10       1.498577736014e-11      -7.069817452260e-15 
   31       1.441442408009e-10       3.237210778753e-15       2.568627576228e-13       3.918520519873e-17       1.410256257806e-10       1.413164767958e-11      -6.393754077494e-15 
   32       1.463982916764e-10       3.612288561419e-15       2.592662240929e-13       4.174623513221e-17       1.326371117012e-10       1.335309193281e-11      -6.759495198448e-15 
   33       1.486835341809e-10       4.015958443222e-15       2.607741093129e-13       4.438985367671e-17       1.249347083822e-10       1.264354881098e-11      -7.814635916875e-15 
   34       1.509935911037e-10       4.449247756047e-15       2.612458015687e-13       4.711613072662e-17       1.178502478121e-10       1.199070599109e-11      -8.971471726825e-15 
   35       1.533171634443e-10       4.913147410684e-15       2.605318439782e-13       4.992512888961e-17       1.112783371675e-10       1.137875077169e-11      -9.639300661547e-15 
   36       1.556612207343e-10       5.408558824386e-15       2.585298141522e-13       5.281691429153e-17       1.052019469399e-10       1.080558838700e-11      -9.755641678847e-15 
   37       1.580343665356e-10       5.936322910023e-15       2.551460419882e-13       5.579154927627e-17       9.960205823384e-11       1.027077484627e-11      -9.435352493731e-15 
   38       1.604398645829e-10       6.497229158861e-15       2.502801691052e-13       5.884908949751e-17       9.441969265913e-11       9.770553798425e-12      -8.833726001454e-15 
   39       1.628767192706e-10       7.092003647544e-15       2.438494460465e-13       6.198958567816e-17       8.957718974436e-11       9.299643661739e-12      -8.125270946525e-15 
   40       1.653449446106e-10       7.721277618218e-15       2.358728107114e-13       6.521308969860e-17       8.505973441281e-11       8.858099127585e-12      -7.424104534230e-15 
   41       1.678410014234e-10       8.385601660119e-15       2.264146398923e-13       6.851965052363e-17       8.085545705291e-11       8.446261380725e-12      -6.841401689869e-15 
   42       1.703557075106e-10       9.085448421052e-15       2.155637971759e-13       7.190931268521e-17       7.693110676337e-11       8.062704359612e-12      -6.508370518092e-15 
   43       1.728787011054e-10       9.821273975892e-15       2.034000569809e-13       7.538211529077e-17       7.324435210812e-11       7.704935808904e-12      -6.535727080879e-15 
   44       1.754147340907e-10       1.059373556684e-14       1.898775569882e-13       7.893808843824e-17       6.978952324145e-11       7.372131927713e-12      -6.874331523767e-15 
   45       1.779715769389e-10       1.140353409326e-14       1.749073602444e-13       8.257725585419e-17       6.656310368622e-11       7.062991931806e-12      -7.413010538823e-15 
   46       1.805552724465e-10       1.225135374156e-14       1.583884742971e-13       8.629963592103e-17       6.354999629669e-11       6.774855910126e-12      -8.014980059111e-15 
   47       1.831699284307e-10       1.313786161330e-14       1.402070349673e-13       9.010524170916e-17       6.072262033516e-11       6.503602951348e-12      -8.516344566725e-15 
   48       1.858177016699e-10       1.406361938696e-14       1.202589290558e-13       9.399407824677e-17       5.804940301053e-11       6.244841170548e-12      -8.770900826805e-15 
   49       1.884992280840e-10       1.502878972490e-14       9.852710789472e-14       9.796613334384e-17       5.552519142763e-11       5.998112169463e-12      -8.802985282187e-15 
   50       1.912129576455e-10       1.603334646716e-14       7.502466516872e-14       1.020213842369e-16       5.314786207042e-11       5.763696732080e-12      -8.695134110459e-15 
   51       1.939547810370e-10       1.707715063180e-14       4.977367106883e-14       1.061598000193e-16       5.090926163258e-11       5.541391327025e-12      -8.546381155356e-15 
   52       1.967178321050e-10       1.815994555493e-14       2.280555192880e-14       1.103813415328e-16       4.879478340344e-11       5.330472147386e-12      -8.473119705499e-15 
   53       1.994951567965e-10       1.928147552356e-14      -5.852397027924e-15       1.146859608766e-16       4.678795431313e-11       5.130006992752e-12      -8.579270921233e-15 
   54       2.022889804163e-10       2.044188867488e-14      -3.622241895066e-14       1.190736000372e-16       4.488655594757e-11       4.939967844645e-12      -8.855799640063e-15 
   55       2.051034790834e-10       2.164142922946e-14      -6.834190260029e-14       1.235441917171e-16       4.308991063864e-11       4.760341708465e-12      -9.256861735571e-15 
   56       2.079420462182e-10       2.288032337768e-14      -1.022507347311e-13       1.280976595634e-16       4.139402493998e-11       4.590786918691e-12      -9.727820182342e-15 
   57       2.108072151839e-10       2.415877959773e-14      -1.379915018755e-13       1.327339180431e-16       3.979137610349e-11       4.430611763291e-12      -1.020481990172e-14 
