# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 100, i.e. number of multipoles equal to 99
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                 
    2       1.348537938883e-10 
    3       1.247082097501e-10 
    4       1.160612895713e-10 
    5       1.097645071331e-10 
    6       1.053348323392e-10 
    7       1.023981083581e-10 
    8       1.005028226098e-10 
    9       9.946522326121e-11 
   10       9.891964918802e-11 
   11       9.879874911120e-11 
   12       9.901570339642e-11 
   13       9.960667433980e-11 
   14       1.002880010300e-10 
   15       1.010841912922e-10 
   16       1.020864613905e-10 
   17       1.032857588223e-10 
   18       1.044953141581e-10 
   19       1.057471454684e-10 
   20       1.071091246050e-10 
   21       1.085721260905e-10 
   22       1.100732374325e-10 
   23       1.116101256543e-10 
   24       1.131819128368e-10 
   25       1.147962531418e-10 
   26       1.164546233936e-10 
   27       1.181835670090e-10 
   28       1.200064868144e-10 
   29       1.219212225525e-10 
   30       1.238656153707e-10 
   31       1.257325419842e-10 
   32       1.274231477513e-10 
   33       1.290155872349e-10 
   34       1.306588858159e-10 
   35       1.324902655593e-10 
   36       1.344952029271e-10 
   37       1.365975733413e-10 
   38       1.386939816337e-10 
   39       1.406843169795e-10 
   40       1.425811673869e-10 
   41       1.444341239623e-10 
   42       1.463006458714e-10 
   43       1.482332573137e-10 
   44       1.502355362302e-10 
   45       1.522929945080e-10 
   46       1.543845712306e-10 
   47       1.564821516341e-10 
   48       1.585573415561e-10 
   49       1.606051713704e-10 
   50       1.626262474131e-10 
   51       1.646199717384e-10 
   52       1.665844312519e-10 
   53       1.685187584664e-10 
   54       1.704311816501e-10 
   55       1.723328514926e-10 
   56       1.742355436046e-10 
   57       1.761516512843e-10 
   58       1.780941782827e-10 
   59       1.800743485783e-10 
   60       1.820938039345e-10 
   61       1.841505783772e-10 
   62       1.862412356524e-10 
   63       1.883607812125e-10 
   64       1.905025742033e-10 
   65       1.926598064001e-10 
   66       1.948305007572e-10 
   67       1.970134172605e-10 
   68       1.992065360302e-10 
   69       2.014070131379e-10 
   70       2.036111364243e-10 
   71       2.058142813157e-10 
   72       2.080126251121e-10 
   73       2.102087689870e-10 
   74       2.124071203094e-10 
   75       2.146122258233e-10 
   76       2.168287676125e-10 
   77       2.190615590663e-10 
   78       2.213155408434e-10 
   79       2.235957768375e-10 
   80       2.259040690889e-10 
   81       2.282281343793e-10 
   82       2.305505318124e-10 
   83       2.328518112974e-10 
   84       2.351104469019e-10 
   85       2.373027702050e-10 
   86       2.394029036497e-10 
   87       2.413826938957e-10 
   88       2.432116451729e-10 
   89       2.448711352010e-10 
   90       2.463997638985e-10 
   91       2.478550287116e-10 
   92       2.492998205846e-10 
   93       2.508025712841e-10 
   94       2.524374007226e-10 
   95       2.542842642827e-10 
   96       2.564291001406e-10 
   97       2.589639765902e-10 
   98       2.619872393669e-10 
   99       2.655638815273e-10 
  100       2.695999297622e-10 
