# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 100, i.e. number of multipoles equal to 99
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                 
    2       1.370688535206e-10 
    3       1.253460982041e-10 
    4       1.158166413142e-10 
    5       1.089536193403e-10 
    6       1.041896857477e-10 
    7       1.010284187435e-10 
    8       9.898706881126e-11 
    9       9.780695229045e-11 
   10       9.708240842577e-11 
   11       9.692337756339e-11 
   12       9.711914111979e-11 
   13       9.764418782220e-11 
   14       9.813970996820e-11 
   15       9.902854316285e-11 
   16       9.995989036613e-11 
   17       1.012670754153e-10 
   18       1.024788443108e-10 
   19       1.036484937966e-10 
   20       1.050475332022e-10 
   21       1.065864159137e-10 
   22       1.080441535977e-10 
   23       1.094868394501e-10 
   24       1.110492779209e-10 
   25       1.127316453267e-10 
   26       1.144762792614e-10 
   27       1.162614732813e-10 
   28       1.180569142181e-10 
   29       1.198223892780e-10 
   30       1.215740946635e-10 
   31       1.233421131121e-10 
   32       1.251478461357e-10 
   33       1.269873114512e-10 
   34       1.288395323964e-10 
   35       1.306816298006e-10 
   36       1.325308733646e-10 
   37       1.344160750813e-10 
   38       1.363661227549e-10 
   39       1.384013239470e-10 
   40       1.405045120608e-10 
   41       1.426396575781e-10 
   42       1.447585303465e-10 
   43       1.468149413960e-10 
   44       1.488149153204e-10 
   45       1.507806389103e-10 
   46       1.527367302879e-10 
   47       1.547102942354e-10 
   48       1.567235129531e-10 
   49       1.587688194895e-10 
   50       1.608268210653e-10 
   51       1.628728351193e-10 
   52       1.648765637917e-10 
   53       1.668132416267e-10 
   54       1.687011933307e-10 
   55       1.705733663933e-10 
   56       1.724668552570e-10 
   57       1.744230568571e-10 
   58       1.764878261622e-10 
   59       1.786969196965e-10 
   60       1.810280253283e-10 
   61       1.834378474673e-10 
   62       1.858755034197e-10 
   63       1.882821802162e-10 
   64       1.905907914397e-10 
   65       1.927436777374e-10 
   66       1.947508362269e-10 
   67       1.966434460558e-10 
   68       1.984570714074e-10 
   69       2.002318230463e-10 
   70       2.020125198649e-10 
   71       2.038488504293e-10 
   72       2.057844765574e-10 
   73       2.078215636367e-10 
   74       2.099497021424e-10 
   75       2.121562729784e-10 
   76       2.144263565576e-10 
   77       2.167426418836e-10 
   78       2.190853356313e-10 
   79       2.214320712277e-10 
   80       2.237614116060e-10 
   81       2.260642580365e-10 
   82       2.283342659246e-10 
   83       2.305644031244e-10 
   84       2.327469255698e-10 
   85       2.348733529047e-10 
   86       2.369344441136e-10 
   87       2.389201731521e-10 
   88       2.408197045771e-10 
   89       2.426290362371e-10 
   90       2.443753544267e-10 
   91       2.460964721369e-10 
   92       2.478335913326e-10 
   93       2.496313934454e-10 
   94       2.515381298665e-10 
   95       2.536057124393e-10 
   96       2.558898039522e-10 
   97       2.584499086318e-10 
   98       2.613494626354e-10 
   99       2.646314914853e-10 
  100       2.682414526101e-10 
