# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 11300, i.e. number of multipoles equal to 11299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.409699994593e-10       3.447076919968e-15       2.676327726417e-13       0.000000000000e+00       6.712342714254e-09       5.203932042215e-10      -1.497007883650e-12 
    3       1.295645059356e-10       4.010759404165e-15       3.070297718371e-13       0.000000000000e+00       4.128726317174e-09       3.628647182101e-10      -1.069891060556e-12 
    4       1.202390468149e-10       3.092488895882e-15       2.865250023028e-13       0.000000000000e+00       2.874480337412e-09       2.722157888011e-10      -6.300682616333e-13 
    5       1.135935565147e-10       1.834106931698e-15       2.404157817593e-13       0.000000000000e+00       2.146630375771e-09       2.136419730046e-10      -2.845539436117e-13 
    6       1.090840001588e-10       9.552221085276e-16       1.905199339168e-13       0.000000000000e+00       1.677646490891e-09       1.730246873944e-10      -5.674181214784e-14 
    7       1.061486574923e-10       5.431586158097e-16       1.481267730842e-13       0.000000000000e+00       1.353866447285e-09       1.434837885014e-10       6.319167238038e-14 
    8       1.043561938321e-10       3.906394730806e-16       1.176392135194e-13       0.000000000000e+00       1.119060764875e-09       1.212324999284e-10       1.008506236615e-13 
    9       1.033961673729e-10       3.166109537136e-16       9.929212056864e-14       0.000000000000e+00       9.423659688631e-10       1.039976305495e-10       8.714935550318e-14 
   10       1.030511174373e-10       2.593659950972e-16       9.110606166870e-14       0.000000000000e+00       8.055063651220e-10       9.032819088347e-11       5.075870497444e-14 
   11       1.031690551656e-10       2.221511313303e-16       9.027874499284e-14       0.000000000000e+00       6.970132045711e-10       7.926054586165e-11       1.320243319751e-14 
   12       1.036440969788e-10       2.103831078036e-16       9.408346412473e-14       0.000000000000e+00       6.093505673382e-10       7.013792429712e-11      -1.317132822436e-14 
   13       1.044019128791e-10       2.170831106527e-16       1.003543890649e-13       0.000000000000e+00       5.373778460502e-10       6.250488583849e-11      -2.459828587014e-14 
   14       1.053886947407e-10       2.354518736176e-16       1.076692782595e-13       0.000000000000e+00       4.774788705996e-10       5.604058940144e-11      -2.350762773669e-14 
   15       1.065650258556e-10       2.661933798861e-16       1.153238567915e-13       0.000000000000e+00       4.270413107056e-10       5.051459139023e-11      -1.541626119912e-14 
   16       1.079006672016e-10       3.131794504565e-16       1.231595738742e-13       0.000000000000e+00       3.841360245414e-10       4.575621068231e-11      -6.093384844980e-15 
   17       1.093711127731e-10       3.779578178566e-16       1.313134574680e-13       0.000000000000e+00       3.473101034617e-10       4.163381992741e-11       3.557501345075e-16 
   18       1.109574835211e-10       4.596066514342e-16       1.399688377707e-13       0.000000000000e+00       3.154500840740e-10       3.804173878197e-11       2.257274663539e-15 
   19       1.126442990936e-10       5.572407859075e-16       1.491774372869e-13       0.000000000000e+00       2.876908777522e-10       3.489274756498e-11       1.286634234303e-16 
   20       1.144189871928e-10       6.709257473101e-16       1.587965922490e-13       0.000000000000e+00       2.633502808671e-10       3.211501073436e-11      -4.188487622099e-15 
   21       1.162722387148e-10       8.008429950675e-16       1.685234690550e-13       0.000000000000e+00       2.418841701236e-10       2.964893581899e-11      -8.568374243766e-15 
   22       1.181962615784e-10       9.468662772784e-16       1.779874966425e-13       0.000000000000e+00       2.228545278127e-10       2.744659743425e-11      -1.143313009146e-14 
   23       1.201852075594e-10       1.109233310143e-15       1.868555592707e-13       0.000000000000e+00       2.059042939227e-10       2.546954360242e-11      -1.216429998578e-14 
   24       1.222340342520e-10       1.289180281214e-15       1.949031381486e-13       0.000000000000e+00       1.907399306033e-10       2.368813643874e-11      -1.107109496473e-14 
   25       1.243385878238e-10       1.488670153786e-15       2.020405066122e-13       0.000000000000e+00       1.771192318501e-10       2.207834762246e-11      -9.042806980141e-15 
   26       1.264942266920e-10       1.709615234002e-15       2.082958480448e-13       0.000000000000e+00       1.648399894284e-10       2.062050821716e-11      -7.085171317967e-15 
   27       1.286980146419e-10       1.953451017353e-15       2.137567137947e-13       0.000000000000e+00       1.537312219241e-10       1.929744577744e-11      -5.930116044681e-15 
   28       1.309462662000e-10       2.221261108366e-15       2.185018740195e-13       0.000000000000e+00       1.436496578444e-10       1.809389933334e-11      -5.837193313702e-15 
   29       1.332362941366e-10       2.513994299286e-15       2.225531949275e-13       0.000000000000e+00       1.344743304833e-10       1.699627258062e-11      -6.610547594366e-15 
   30       1.355655848699e-10       2.832477749710e-15       2.258536820676e-13       0.000000000000e+00       1.260994272624e-10       1.599179687307e-11      -7.774886131056e-15 
   31       1.379323245593e-10       3.177386909254e-15       2.282766138004e-13       0.000000000000e+00       1.181364609615e-10       1.516374573132e-11      -1.026340214667e-14 
   32       1.403351611340e-10       3.549374057885e-15       2.296582808298e-13       0.000000000000e+00       1.111196921780e-10       1.434431660016e-11      -1.061573906778e-14 
   33       1.427726581733e-10       3.949277197204e-15       2.298406947747e-13       0.000000000000e+00       1.046680008228e-10       1.352942049091e-11      -1.082035641318e-14 
   34       1.452441221057e-10       4.378192032835e-15       2.287085061173e-13       0.000000000000e+00       9.872313992296e-11       1.279290945632e-11      -1.043694801270e-14 
   35       1.477480189547e-10       4.837350301350e-15       2.262067664291e-13       0.000000000000e+00       9.323430824055e-11       1.213378163088e-11      -9.656771682353e-15 
