# Matter power spectrum P(k) at redshift z=0
# for k=9.1423e-06 to 147.875 h/Mpc,
# number of wavenumbers equal to 1050
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.142301902038e-06       5.447770842913e+01 
       2.042836597042e-05       1.207264596892e+02 
       3.174488752173e-05       1.867523591761e+02 
       4.311522865390e-05       2.528389399111e+02 
       5.456304853649e-05       3.191865278098e+02 
       6.611246550713e-05       3.859687293917e+02 
       7.778822318636e-05       4.533488455688e+02 
       8.961586233824e-05       5.214868517053e+02 
       1.016219002179e-04       5.905433106437e+02 
       1.138340191660e-04       6.606819414557e+02 
       1.262812662254e-04       7.320716357857e+02 
       1.389942655637e-04       8.048881375497e+02 
       1.520054454676e-04       8.793156289905e+02 
       1.653492816298e-04       9.555482759633e+02 
       1.790625583411e-04       1.033791735043e+03 
       1.931846490226e-04       1.114264745234e+03 
       2.077578172346e-04       1.197200737312e+03 
       2.228275388594e-04       1.282849526588e+03 
       2.384428455003e-04       1.371479051587e+03 
       2.546566882281e-04       1.463377180602e+03 
       2.715263195374e-04       1.558853538478e+03 
       2.891136896784e-04       1.658241378423e+03 
       3.074858512794e-04       1.761899348390e+03 
       3.267153632765e-04       1.870213244563e+03 
       3.468806814870e-04       1.983597521676e+03 
       3.680665186256e-04       2.102496541431e+03 
       3.903641511005e-04       2.227385374131e+03 
       4.138716435752e-04       2.358769998686e+03 
       4.386939552177e-04       2.497186670171e+03 
       4.649428841519e-04       2.643200236211e+03 
       4.927367995586e-04       2.797401061949e+03 
       5.222001051978e-04       2.960400314129e+03 
       5.534623753241e-04       3.132823308220e+03 
       5.866571059730e-04       3.315300455337e+03 
       6.219200336200e-04       3.508455941507e+03 
       6.593869915032e-04       3.712893856810e+03 
       6.991913031280e-04       3.929181555237e+03 
       7.414607530734e-04       4.157831441418e+03 
       7.863142254615e-04       4.399280948628e+03 
       8.338581557634e-04       4.653872140342e+03 
       8.841829943470e-04       4.921832214533e+03 
       9.373599203089e-04       5.203256317587e+03 
       9.934380610870e-04       5.498093956951e+03 
       1.052442458731e-03       5.806141030181e+03 
       1.114372974288e-03       6.127037896749e+03 
       1.179204241559e-03       6.460274129663e+03 
       1.246886681911e-03       6.805199782044e+03 
       1.317348489320e-03       7.161042991302e+03 
       1.390498406856e-03       7.526930676558e+03 
       1.466229056198e-03       7.901912490701e+03 
       1.544420557523e-03       8.284985740858e+03 
       1.624944187283e-03       8.675119595852e+03 
       1.707665858822e-03       9.071277033730e+03 
       1.792449264561e-03       9.472434961666e+03 
       1.879158577464e-03       9.877600041234e+03 
       1.967660664612e-03       1.028582239086e+04 
       2.057826811067e-03       1.069620526039e+04 
       2.149533985243e-03       1.110792681130e+04 
       2.242665697758e-03       1.152018812316e+04 
       2.337112516074e-03       1.193227444725e+04 
       2.432772299396e-03       1.234353391627e+04 
       2.529550215073e-03       1.275337387055e+04 
       2.627358591245e-03       1.316126155096e+04 
       2.726116652414e-03       1.356671749385e+04 
       2.825750176298e-03       1.396931292618e+04 
       2.926191102443e-03       1.436866737219e+04 
       3.027377116072e-03       1.476444349449e+04 
       3.129251224687e-03       1.515634362061e+04 
       3.231761340098e-03       1.554410754759e+04 
       3.334859874634e-03       1.592750719850e+04 
       3.438503357277e-03       1.630634526708e+04 
       3.542652073199e-03       1.668045019959e+04 
       3.647269728439e-03       1.704967617064e+04 
       3.752323140264e-03       1.741389662369e+04 
       3.857781952900e-03       1.777300918237e+04 
       3.963618377711e-03       1.812691724116e+04 
       4.069806956582e-03       1.847555862876e+04 
       4.176324346991e-03       1.881886878907e+04 
       4.283149127218e-03       1.915680278271e+04 
       4.390261620052e-03       1.948932213392e+04 
       4.497643733425e-03       1.981640854825e+04 
       4.605278816460e-03       2.013803515697e+04 
       4.713151529487e-03       2.045419786400e+04 
       4.821247726712e-03       2.076489916813e+04 
       4.929554350285e-03       2.107013994298e+04 
       5.038059334664e-03       2.136992690122e+04 
       5.146751520224e-03       2.166428254995e+04 
       5.255620575196e-03       2.195322379232e+04 
       5.364656925092e-03       2.223678153985e+04 
       5.473851688853e-03       2.251496681932e+04 
       5.583196621035e-03       2.278783018275e+04 
       5.692684059437e-03       2.305539271274e+04 
       5.802306877601e-03       2.331769422282e+04 
       5.912058441713e-03       2.357477082370e+04 
       6.021932571446e-03       2.382666277868e+04 
       6.131923504366e-03       2.407340294885e+04 
       6.242025863534e-03       2.431506650991e+04 
       6.352234628010e-03       2.455166394846e+04 
       6.462545105948e-03       2.478324745003e+04 
       6.572952910051e-03       2.500986949682e+04 
       6.683453935152e-03       2.523157555679e+04 
       6.794044337716e-03       2.544841600854e+04 
       6.904720517079e-03       2.566042816314e+04 
       7.015479098275e-03       2.586767392358e+04 
       7.126316916277e-03       2.607018767733e+04 
       7.237231001548e-03       2.626803419845e+04 
       7.348218566769e-03       2.646125029686e+04 
       7.459276994633e-03       2.664989532993e+04 
       7.570403826622e-03       2.683401000785e+04 
       7.681596752669e-03       2.701366484362e+04 
       7.792853601634e-03       2.718888527167e+04 
       7.904172332519e-03       2.735972245759e+04 
       8.015551026358e-03       2.752624874851e+04 
       8.126987878725e-03       2.768849539798e+04 
       8.238481192813e-03       2.784649678220e+04 
       8.350029373024e-03       2.800034905588e+04 
       8.461630919043e-03       2.815005767481e+04 
       8.573284420341e-03       2.829568573523e+04 
       8.684988551082e-03       2.843726815121e+04 
       8.796742065404e-03       2.857488337995e+04 
       8.908543793029e-03       2.870855719279e+04 
       9.020392635194e-03       2.883835115793e+04 
       9.132287560868e-03       2.896428291574e+04 
       9.244227603231e-03       2.908643794429e+04 
       9.356211856406e-03       2.920486683565e+04 
       9.468239472414e-03       2.931955853215e+04 
       9.580309658337e-03       2.943059880264e+04 
       9.692421673679e-03       2.953803675854e+04 
       9.804574827907e-03       2.964192127218e+04 
       9.916768478159e-03       2.974227104671e+04 
       1.002900202710e-02       2.983914532155e+04 
       1.014127492095e-02       2.993258783659e+04 
       1.025358664760e-02       3.002266170835e+04 
       1.036593673488e-02       3.010938678341e+04 
       1.047832474897e-02       3.019279155790e+04 
       1.059075029286e-02       3.027296040158e+04 
       1.070321300496e-02       3.034988731855e+04 
       1.081571255778e-02       3.042368900495e+04 
       1.092824865671e-02       3.049431618702e+04 
       1.104082103886e-02       3.056187467937e+04 
       1.115342947205e-02       3.062637222291e+04 
       1.126607375373e-02       3.068784885736e+04 
       1.137875371015e-02       3.074637463082e+04 
       1.149146919543e-02       3.080196381959e+04 
       1.160422009082e-02       3.085467374089e+04 
       1.171700630389e-02       3.090451845986e+04 
       1.182982776790e-02       3.095154105799e+04 
       1.194268444115e-02       3.099581270246e+04 
       1.205557630635e-02       3.103730679090e+04 
       1.216850337014e-02       3.107612952012e+04 
       1.228146566253e-02       3.111228911527e+04 
       1.239446323645e-02       3.114578620154e+04 
       1.250749616736e-02       3.117672503138e+04 
       1.262056455281e-02       3.120509232503e+04 
       1.273366851212e-02       3.123094091610e+04 
