# Matter power spectrum P(k) at redshift z=0
# for k=9.1423e-06 to 147.875 h/Mpc,
# number of wavenumbers equal to 1050
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.142301902038e-06       5.499932597674e+01 
       2.042836597042e-05       1.218825734951e+02 
       3.174488752173e-05       1.885412723782e+02 
       4.311522865390e-05       2.552619458699e+02 
       5.456304853649e-05       3.222471318229e+02 
       6.611246550713e-05       3.896724628463e+02 
       7.778822318636e-05       4.577031722684e+02 
       8.961586233824e-05       5.265012066394e+02 
       1.016219002179e-04       5.962291578582e+02 
       1.138340191660e-04       6.670528858913e+02 
       1.262812662254e-04       7.391435414860e+02 
       1.389942655637e-04       8.126793034228e+02 
       1.520054454676e-04       8.878469872614e+02 
       1.653492816298e-04       9.648436116008e+02 
       1.790625583411e-04       1.043877972526e+03 
       1.931846490226e-04       1.125172257371e+03 
       2.077578172346e-04       1.208963716665e+03 
       2.228275388594e-04       1.295506404053e+03 
       2.384428455003e-04       1.385072985912e+03 
       2.546566882281e-04       1.477956613971e+03 
       2.715263195374e-04       1.574472844471e+03 
       2.891136896784e-04       1.674961575521e+03 
       3.074858512794e-04       1.779788959453e+03 
       3.267153632765e-04       1.889349228598e+03 
       3.468806814870e-04       2.004066350192e+03 
       3.680665186256e-04       2.124395398801e+03 
       3.903641511005e-04       2.250823502462e+03 
       4.138716435752e-04       2.383870182259e+03 
       4.386939552177e-04       2.524086865573e+03 
       4.649428841519e-04       2.672055313555e+03 
       4.927367995586e-04       2.828384667892e+03 
       5.222001051978e-04       2.993706797562e+03 
       5.534623753241e-04       3.168669622118e+03 
       5.866571059730e-04       3.353928115858e+03 
       6.219200336200e-04       3.550132769783e+03 
       6.593869915032e-04       3.757915417923e+03 
       6.991913031280e-04       3.977872529399e+03 
       7.414607530734e-04       4.210546326985e+03 
       7.863142254615e-04       4.456404402595e+03 
       8.338581557634e-04       4.715818828240e+03 
       8.841829943470e-04       4.989046057831e+03 
       9.373599203089e-04       5.276209118569e+03 
       9.934380610870e-04       5.577283637985e+03 
       1.052442458731e-03       5.892089098440e+03 
       1.114372974288e-03       6.220286344238e+03 
       1.179204241559e-03       6.561381822494e+03 
       1.246886681911e-03       6.914738396686e+03 
       1.317348489320e-03       7.279591938214e+03 
       1.390498406856e-03       7.655072383747e+03 
       1.466229056198e-03       8.040227624917e+03 
       1.544420557523e-03       8.434048506265e+03 
       1.624944187283e-03       8.835493332109e+03 
       1.707665858822e-03       9.243510569285e+03 
       1.792449264561e-03       9.657058808145e+03 
       1.879158577464e-03       1.007512343712e+04 
       1.967660664612e-03       1.049672984077e+04 
       2.057826811067e-03       1.092095321387e+04 
       2.149533985243e-03       1.134692528180e+04 
       2.242665697758e-03       1.177383833452e+04 
       2.337112516074e-03       1.220094703085e+04 
       2.432772299396e-03       1.262756842912e+04 
       2.529550215073e-03       1.305308066670e+04 
       2.627358591245e-03       1.347692065889e+04 
       2.726116652414e-03       1.389858112834e+04 
       2.825750176298e-03       1.431760721662e+04 
       2.926191102443e-03       1.473359287502e+04 
       3.027377116072e-03       1.514617718374e+04 
       3.129251224687e-03       1.555504070869e+04 
       3.231761340098e-03       1.595990197255e+04 
       3.334859874634e-03       1.636051409149e+04 
       3.438503357277e-03       1.675666160881e+04 
       3.542652073199e-03       1.714815754261e+04 
       3.647269728439e-03       1.753484065343e+04 
       3.752323140264e-03       1.791657293033e+04 
       3.857781952900e-03       1.829323728882e+04 
       3.963618377711e-03       1.866473547037e+04 
       4.069806956582e-03       1.903098613140e+04 
       4.176324346991e-03       1.939192310868e+04 
       4.283149127218e-03       1.974749384736e+04 
       4.390261620052e-03       2.009765797856e+04 
       4.497643733425e-03       2.044238603325e+04 
       4.605278816460e-03       2.078165828041e+04 
       4.713151529487e-03       2.111546367791e+04 
       4.821247726712e-03       2.144379892539e+04 
       4.929554350285e-03       2.176666760956e+04 
       5.038059334664e-03       2.208407943274e+04 
       5.146751520224e-03       2.239604951672e+04 
       5.255620575196e-03       2.270259777445e+04 
       5.364656925092e-03       2.300374834296e+04 
       5.473851688853e-03       2.329952907143e+04 
       5.583196621035e-03       2.358997105912e+04 
       5.692684059437e-03       2.387510823815e+04 
       5.802306877601e-03       2.415497699688e+04 
       5.912058441713e-03       2.442961583992e+04 
       6.021932571446e-03       2.469906508125e+04 
       6.131923504366e-03       2.496336656730e+04 
       6.242025863534e-03       2.522256342711e+04 
       6.352234628010e-03       2.547669984709e+04 
       6.462545105948e-03       2.572582086811e+04 
       6.572952910051e-03       2.596997220273e+04 
       6.683453935152e-03       2.620920007089e+04 
       6.794044337716e-03       2.644355105234e+04 
       6.904720517079e-03       2.667307195424e+04 
       7.015479098275e-03       2.689780969277e+04 
       7.126316916277e-03       2.711781118736e+04 
       7.237231001548e-03       2.733312326650e+04 
       7.348218566769e-03       2.754379258428e+04 
       7.459276994633e-03       2.774986554651e+04 
       7.570403826622e-03       2.795138824593e+04 
       7.681596752669e-03       2.814840640546e+04 
       7.792853601634e-03       2.834096532913e+04 
       7.904172332519e-03       2.852910985985e+04 
       8.015551026358e-03       2.871288434365e+04 
       8.126987878725e-03       2.889233259980e+04 
       8.238481192813e-03       2.906749789632e+04 
       8.350029373024e-03       2.923842293066e+04 
       8.461630919043e-03       2.940514981493e+04 
       8.573284420341e-03       2.956772006548e+04 
       8.684988551082e-03       2.972617459646e+04 
       8.796742065404e-03       2.988055371714e+04 
       8.908543793029e-03       3.003089713256e+04 
       9.020392635194e-03       3.017724394743e+04 
       9.132287560868e-03       3.031963267292e+04 
       9.244227603231e-03       3.045810123620e+04 
       9.356211856406e-03       3.059268699247e+04 
       9.468239472414e-03       3.072342673926e+04 
       9.580309658337e-03       3.085035673295e+04 
       9.692421673679e-03       3.097351270716e+04 
