# Matter power spectrum P(k) at redshift z=0
# for k=9.1423e-06 to 147.875 h/Mpc,
# number of wavenumbers equal to 1050
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.142301902038e-06       5.447706888682e+01 
       2.042836597042e-05       1.207250520416e+02 
       3.174488752173e-05       1.867502080238e+02 
       4.311522865390e-05       2.528360789408e+02 
       5.456304853649e-05       3.191830013405e+02 
       6.611246550713e-05       3.859645935578e+02 
       7.778822318636e-05       4.533441695665e+02 
       8.961586233824e-05       5.214817193144e+02 
       1.016219002179e-04       5.905378220492e+02 
       1.138340191660e-04       6.606762154548e+02 
       1.262812662254e-04       7.320658124450e+02 
       1.389942655637e-04       8.048823813980e+02 
       1.520054454676e-04       8.793101328425e+02 
       1.653492816298e-04       9.555432654912e+02 
       1.790625583411e-04       1.033787474240e+03 
       1.931846490226e-04       1.114261542942e+03 
       2.077578172346e-04       1.197198955027e+03 
       2.228275388594e-04       1.282849587789e+03 
       2.384428455003e-04       1.371481452906e+03 
       2.546566882281e-04       1.463382505200e+03 
       2.715263195374e-04       1.558862472083e+03 
       2.891136896784e-04       1.658254728560e+03 
       3.074858512794e-04       1.761918067459e+03 
       3.267153632765e-04       1.870238457530e+03 
       3.468806814870e-04       1.983630559294e+03 
       3.680665186256e-04       2.102538980066e+03 
       3.903641511005e-04       2.227439083427e+03 
       4.138716435752e-04       2.358837198515e+03 
       4.386939552177e-04       2.497269998438e+03 
       4.649428841519e-04       2.643302829311e+03 
       4.927367995586e-04       2.797526649684e+03 
       5.222001051978e-04       2.960553330971e+03 
       5.534623753241e-04       3.133009022641e+03 
       5.866571059730e-04       3.315525118557e+03 
       6.219200336200e-04       3.508726956453e+03 
       6.593869915032e-04       3.713219966986e+03 
       6.991913031280e-04       3.929573051859e+03 
       7.414607530734e-04       4.158300385293e+03 
       7.863142254615e-04       4.399841400907e+03 
       8.338581557634e-04       4.654540393807e+03 
       8.841829943470e-04       4.922627014320e+03 
       9.373599203089e-04       5.204199057948e+03 
       9.934380610870e-04       5.499208838963e+03 
       1.052442458731e-03       5.807455164981e+03 
       1.114372974288e-03       6.128581339759e+03 
       1.179204241559e-03       6.462079834021e+03 
       1.246886681911e-03       6.807303464336e+03 
       1.317348489320e-03       7.163482907959e+03 
       1.390498406856e-03       7.529747316203e+03 
       1.466229056198e-03       7.905148193694e+03 
       1.544420557523e-03       8.288684263553e+03 
       1.624944187283e-03       8.679325640655e+03 
       1.707665858822e-03       9.076035767890e+03 
       1.792449264561e-03       9.477791548879e+03 
       1.879158577464e-03       9.883599206533e+03 
       1.967660664612e-03       1.029250803716e+04 
       2.057826811067e-03       1.070362014964e+04 
       2.149533985243e-03       1.111611232904e+04 
       2.242665697758e-03       1.152918407194e+04 
       2.337112516074e-03       1.194211895647e+04 
       2.432772299396e-03       1.235426339837e+04 
       2.529550215073e-03       1.276502302733e+04 
       2.627358591245e-03       1.317386342245e+04 
       2.726116652414e-03       1.358030353095e+04 
       2.825750176298e-03       1.398391307861e+04 
       2.926191102443e-03       1.438431036743e+04 
       3.027377116072e-03       1.478115668327e+04 
       3.129251224687e-03       1.517415227385e+04 
       3.231761340098e-03       1.556303485032e+04 
       3.334859874634e-03       1.594757428091e+04 
       3.438503357277e-03       1.632757125700e+04 
       3.542652073199e-03       1.670285228374e+04 
       3.647269728439e-03       1.707326966467e+04 
       3.752323140264e-03       1.743869503968e+04 
       3.857781952900e-03       1.779902430619e+04 
       3.963618377711e-03       1.815415919338e+04 
       4.069806956582e-03       1.850403595568e+04 
       4.176324346991e-03       1.884858852311e+04 
       4.283149127218e-03       1.918777052566e+04 
       4.390261620052e-03       1.952154212819e+04 
       4.497643733425e-03       1.984988377125e+04 
       4.605278816460e-03       2.017276738024e+04 
       4.713151529487e-03       2.049018775174e+04 
       4.821247726712e-03       2.080214636124e+04 
       4.929554350285e-03       2.110864312804e+04 
       5.038059334664e-03       2.140968388733e+04 
       5.146751520224e-03       2.170529036058e+04 
       5.255620575196e-03       2.199547872028e+04 
       5.364656925092e-03       2.228027922917e+04 
       5.473851688853e-03       2.255970228953e+04 
       5.583196621035e-03       2.283379793264e+04 
       5.692684059437e-03       2.310258672505e+04 
       5.802306877601e-03       2.336610802408e+04 
       5.912058441713e-03       2.362439750595e+04 
       6.021932571446e-03       2.387749503278e+04 
       6.131923504366e-03       2.412543306579e+04 
       6.242025863534e-03       2.436828646640e+04 
       6.352234628010e-03       2.460606529874e+04 
       6.462545105948e-03       2.483882139961e+04 
       6.572952910051e-03       2.506660689641e+04 
       6.683453935152e-03       2.528946688599e+04 
       6.794044337716e-03       2.550745136727e+04 
       6.904720517079e-03       2.572059724276e+04 
       7.015479098275e-03       2.592896602621e+04 
       7.126316916277e-03       2.613259164850e+04 
       7.237231001548e-03       2.633153846474e+04 
       7.348218566769e-03       2.652584280288e+04 
       7.459276994633e-03       2.671556354022e+04 
       7.570403826622e-03       2.690074086940e+04 
       7.681596752669e-03       2.708144481549e+04 
       7.792853601634e-03       2.725770022259e+04 
       7.904172332519e-03       2.742955769930e+04 
       8.015551026358e-03       2.759708905504e+04 
       8.126987878725e-03       2.776032491202e+04 
       8.238481192813e-03       2.791929900434e+04 
       8.350029373024e-03       2.807410697482e+04 
       8.461630919043e-03       2.822475355572e+04 
       8.573284420341e-03       2.837130123854e+04 
       8.684988551082e-03       2.851378425493e+04 
       8.796742065404e-03       2.865228049257e+04 
       8.908543793029e-03       2.878681502421e+04 
       9.020392635194e-03       2.891744880329e+04 
       9.132287560868e-03       2.904419875101e+04 
       9.244227603231e-03       2.916714980401e+04 
       9.356211856406e-03       2.928635193133e+04 
       9.468239472414e-03       2.940179331536e+04 
       9.580309658337e-03       2.951355920974e+04 
       9.692421673679e-03       2.962169814542e+04 
       9.804574827907e-03       2.972625842960e+04 
       9.916768478159e-03       2.982725814494e+04 
       1.002900202710e-02       2.992475603882e+04 
       1.014127492095e-02       3.001879534725e+04 
       1.025358664760e-02       3.010943876653e+04 
       1.036593673488e-02       3.019670563969e+04 
       1.047832474897e-02       3.028062401625e+04 
       1.059075029286e-02       3.036127801093e+04 
       1.070321300496e-02       3.043866117224e+04 
       1.081571255778e-02       3.051289011264e+04 
       1.092824865671e-02       3.058391506935e+04 
       1.104082103886e-02       3.065184183730e+04 
       1.115342947205e-02       3.071667791825e+04 
       1.126607375373e-02       3.077846324868e+04 
       1.137875371015e-02       3.083726790209e+04 
       1.149146919543e-02       3.089310607895e+04 
       1.160422009082e-02       3.094603518419e+04 
       1.171700630389e-02       3.099606929579e+04 
       1.182982776790e-02       3.104325163887e+04 
       1.194268444115e-02       3.108765363780e+04 
       1.205557630635e-02       3.112924869920e+04 
       1.216850337014e-02       3.116814350889e+04 
       1.228146566253e-02       3.120434645980e+04 
       1.239446323645e-02       3.123785809849e+04 
       1.250749616736e-02       3.126878409253e+04 
       1.262056455281e-02       3.129711075082e+04 
       1.273366851212e-02       3.132288775049e+04 
       1.284680818605e-02       3.134615260620e+04 
       1.295998373653e-02       3.136693858253e+04 
       1.307319534634e-02       3.138524611843e+04 
       1.318644321896e-02       3.140120968341e+04 
       1.329972757831e-02       3.141500066625e+04 
       1.341304866858e-02       3.142633442818e+04 
       1.352640675410e-02       3.143522644919e+04 
       1.363980211921e-02       3.144181850440e+04 
       1.375323506810e-02       3.144620669547e+04 
       1.386670592483e-02       3.144834867451e+04 
       1.398021503316e-02       3.144832675968e+04 
       1.409376275660e-02       3.144616654393e+04 
       1.420734947833e-02       3.144183145869e+04 
       1.432097560123e-02       3.143544826184e+04 
       1.443464154790e-02       3.142700666353e+04 
       1.454834776069e-02       3.141653732615e+04 
       1.466209470175e-02       3.140404867356e+04 
       1.477588285314e-02       3.138957455885e+04 
       1.488971271689e-02       3.137317371049e+04 
       1.500358481509e-02       3.135491477842e+04 
       1.511749969009e-02       3.133469720064e+04 
       1.523145790458e-02       3.131266406418e+04 
       1.534546004177e-02       3.128883616540e+04 
       1.545950670556e-02       3.126316576751e+04 
       1.557359852077e-02       3.123575354808e+04 
       1.568773613330e-02       3.120655434739e+04 
       1.580192021036e-02       3.117569931798e+04 
       1.591615144076e-02       3.114312345821e+04 
       1.603043053512e-02       3.110893241817e+04 
       1.614475822615e-02       3.107303924072e+04 
       1.625913526894e-02       3.103555372988e+04 
       1.637356244130e-02       3.099653437525e+04 
       1.648804054401e-02       3.095596127703e+04 
       1.660257040124e-02       3.091383726367e+04 
       1.671715286081e-02       3.087023969179e+04 
       1.683178879467e-02       3.082511315166e+04 
       1.694647909916e-02       3.077857300141e+04 
       1.706122469554e-02       3.073062363086e+04 
       1.717602653029e-02       3.068123698530e+04 
       1.729088557565e-02       3.063050239886e+04 
       1.740580282999e-02       3.057841652506e+04 
       1.752077931833e-02       3.052504374863e+04 
       1.763581609284e-02       3.047029547776e+04 
       1.775091423327e-02       3.041431848252e+04 
       1.786607484759e-02       3.035711422936e+04 
       1.798129907241e-02       3.029862592230e+04 
       1.809658807367e-02       3.023898878536e+04 
       1.821194304711e-02       3.017809826342e+04 
       1.832736521894e-02       3.011609008955e+04 
       1.844285584646e-02       3.005299330085e+04 
       1.855841621868e-02       2.998869851250e+04 
       1.867404765700e-02       2.992338674103e+04 
       1.878975151591e-02       2.985699478917e+04 
       1.890552918366e-02       2.978956979214e+04 
       1.902138208306e-02       2.972105916565e+04 
       1.913731167218e-02       2.965162206056e+04 
       1.925331944516e-02       2.958117165730e+04 
       1.936940693303e-02       2.950971228220e+04 
       1.948557570450e-02       2.943739543336e+04 
       1.960182736688e-02       2.936407304887e+04 
       1.971816356692e-02       2.929005219770e+04 
       1.983458599175e-02       2.921499395666e+04 
       1.995109636982e-02       2.913908336772e+04 
       2.006769647190e-02       2.906244814584e+04 
       2.018438811204e-02       2.898484893542e+04 
       2.030117314864e-02       2.890654127570e+04 
       2.041805348555e-02       2.882747709954e+04 
       2.053503107310e-02       2.874764027479e+04 
       2.065210790932e-02       2.866709569352e+04 
       2.076928604110e-02       2.858574949091e+04 
       2.088656756536e-02       2.850370698744e+04 
       2.100395463038e-02       2.842101085637e+04 
       2.112144943704e-02       2.833769787693e+04 
       2.123905424017e-02       2.825367682628e+04 
       2.135677134997e-02       2.816904757693e+04 
       2.147460313338e-02       2.808386870658e+04 
       2.159255201561e-02       2.799804936009e+04 
       2.171062048161e-02       2.791162692654e+04 
       2.182881107768e-02       2.782464358504e+04 
       2.194712641310e-02       2.773718372693e+04 
       2.206556916176e-02       2.764910766755e+04 
       2.218414206396e-02       2.756060970215e+04 
       2.230284792814e-02       2.747157102892e+04 
       2.242168963278e-02       2.738204370489e+04 
       2.254067012831e-02       2.729209979884e+04 
       2.265979243906e-02       2.720170533949e+04 
       2.277905966536e-02       2.711084011154e+04 
       2.289847498562e-02       2.701953493329e+04 
       2.301804165853e-02       2.692794313174e+04 
       2.313776302535e-02       2.683590052212e+04 
       2.325764251225e-02       2.674347760956e+04 
       2.337768363273e-02       2.665068860017e+04 
       2.349788999016e-02       2.655755918661e+04 
       2.361826528040e-02       2.646408137839e+04 
       2.373881329446e-02       2.637031039245e+04 
       2.385953792133e-02       2.627615514090e+04 
       2.398044315090e-02       2.618192434591e+04 
       2.410153307694e-02       2.608731479040e+04 
       2.422281190023e-02       2.599235653299e+04 
       2.434428393182e-02       2.589720446477e+04 
       2.446595359636e-02       2.580189417994e+04 
       2.458782543558e-02       2.570623167774e+04 
       2.470990411197e-02       2.561040818080e+04 
       2.483219441246e-02       2.551437103151e+04 
       2.495470125236e-02       2.541822861318e+04 
       2.507742967943e-02       2.532178671681e+04 
       2.520038487806e-02       2.522526343788e+04 
       2.532357217365e-02       2.512849295513e+04 
       2.544699703721e-02       2.503165510970e+04 
       2.557066509004e-02       2.493466020886e+04 
       2.569458210868e-02       2.483757051917e+04 
       2.581875403005e-02       2.474029312171e+04 
       2.594318695678e-02       2.464299860070e+04 
       2.606788716274e-02       2.454551989336e+04 
       2.619286109890e-02       2.444803100888e+04 
       2.631811539930e-02       2.435047039933e+04 
       2.644365688737e-02       2.425278686111e+04 
       2.656949258250e-02       2.415514603384e+04 
       2.669562970688e-02       2.405739744871e+04 
       2.682207569261e-02       2.395953845636e+04 
       2.694883818922e-02       2.386165080304e+04 
       2.707592507139e-02       2.376388956863e+04 
       2.720334444715e-02       2.366604034565e+04 
       2.733110466633e-02       2.356815035693e+04 
       2.745921432949e-02       2.347025289577e+04 
       2.758768229717e-02       2.337244076169e+04 
       2.771651769967e-02       2.327462621945e+04 
       2.784572994721e-02       2.317672650997e+04 
       2.797532874062e-02       2.307893841713e+04 
       2.810532408246e-02       2.298121332098e+04 
       2.823572628878e-02       2.288360409058e+04 
       2.836654600141e-02       2.278590000781e+04 
       2.849779420081e-02       2.268824930614e+04 
       2.862948221961e-02       2.259069181753e+04 
       2.876162175681e-02       2.249326544537e+04 
       2.889422489271e-02       2.239582581128e+04 
       2.902730410456e-02       2.229855028489e+04 
       2.916087228309e-02       2.220129914623e+04 
       2.929494274984e-02       2.210419093114e+04 
       2.942952927541e-02       2.200711736199e+04 
