# Matter power spectrum P(k) at redshift z=0
# for k=9.1423e-06 to 147.875 h/Mpc,
# number of wavenumbers equal to 1050
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.142301902038e-06       5.447770843171e+01 
       2.042836597042e-05       1.207264597204e+02 
       3.174488752173e-05       1.867523592974e+02 
       4.311522865390e-05       2.528389402207e+02 
       5.456304853649e-05       3.191865284438e+02 
       6.611246550713e-05       3.859687305247e+02 
       7.778822318636e-05       4.533488474162e+02 
       8.961586233824e-05       5.214868545253e+02 
       1.016219002179e-04       5.905433147403e+02 
       1.138340191660e-04       6.606819471821e+02 
       1.262812662254e-04       7.320716435484e+02 
       1.389942655637e-04       8.048881478142e+02 
       1.520054454676e-04       8.793156422864e+02 
       1.653492816298e-04       9.555482928915e+02 
       1.790625583411e-04       1.033791756283e+03 
       1.931846490226e-04       1.114264771553e+03 
       2.077578172346e-04       1.197200769574e+03 
       2.228275388594e-04       1.282849565766e+03 
       2.384428455003e-04       1.371479098770e+03 
       2.546566882281e-04       1.463377237012e+03 
       2.715263195374e-04       1.558853605479e+03 
       2.891136896784e-04       1.658241457536e+03 
       3.074858512794e-04       1.761899441302e+03 
       3.267153632765e-04       1.870213353137e+03 
       3.468806814870e-04       1.983597647954e+03 
       3.680665186256e-04       2.102496687636e+03 
       3.903641511005e-04       2.227385542651e+03 
       4.138716435752e-04       2.358770192049e+03 
       4.386939552177e-04       2.497186890991e+03 
       4.649428841519e-04       2.643200487107e+03 
       4.927367995586e-04       2.797401345416e+03 
       5.222001051978e-04       2.960400632341e+03 
       5.534623753241e-04       3.132823662751e+03 
       5.866571059730e-04       3.315300846762e+03 
       6.219200336200e-04       3.508456368847e+03 
       6.593869915032e-04       3.712894316775e+03 
       6.991913031280e-04       3.929182041210e+03 
       7.414607530734e-04       4.157831942111e+03 
       7.863142254615e-04       4.399281446337e+03 
       8.338581557634e-04       4.653872608722e+03 
       8.841829943470e-04       4.921832615807e+03 
       9.373599203089e-04       5.203256599102e+03 
       9.934380610870e-04       5.498094047033e+03 
       1.052442458731e-03       5.806140833210e+03 
       1.114372974288e-03       6.127037287446e+03 
       1.179204241559e-03       6.460272946577e+03 
       1.246886681911e-03       6.805197820284e+03 
       1.317348489320e-03       7.161039994566e+03 
       1.390498406856e-03       7.526926328563e+03 
       1.466229056198e-03       7.901906406115e+03 
       1.544420557523e-03       8.284977455871e+03 
       1.624944187283e-03       8.675108558513e+03 
       1.707665858822e-03       9.071262594185e+03 
       1.792449264561e-03       9.472416362408e+03 
       1.879158577464e-03       9.877576407478e+03 
       1.967660664612e-03       1.028579272114e+04 
       2.057826811067e-03       1.069616841744e+04 
       2.149533985243e-03       1.110788151313e+04 
       2.242665697758e-03       1.152013293500e+04 
       2.337112516074e-03       1.193220777350e+04 
       2.432772299396e-03       1.234345399295e+04 
       2.529550215073e-03       1.275327875839e+04 
       2.627358591245e-03       1.316114912878e+04 
       2.726116652414e-03       1.356658545252e+04 
       2.825750176298e-03       1.396915876302e+04 
       2.926191102443e-03       1.436848838583e+04 
       3.027377116072e-03       1.476423678016e+04 
       3.129251224687e-03       1.515610606588e+04 
       3.231761340098e-03       1.554383582853e+04 
       3.334859874634e-03       1.592719777623e+04 
       3.438503357277e-03       1.630599438470e+04 
       3.542652073199e-03       1.668005387957e+04 
       3.647269728439e-03       1.704923021245e+04 
       3.752323140264e-03       1.741339660193e+04 
       3.857781952900e-03       1.777245044500e+04 
       3.963618377711e-03       1.812629490873e+04 
       4.069806956582e-03       1.847486759253e+04 
       4.176324346991e-03       1.881810371115e+04 
       4.283149127218e-03       1.915595809534e+04 
       4.390261620052e-03       1.948839203964e+04 
       4.497643733425e-03       1.981538701937e+04 
       4.605278816460e-03       2.013691593730e+04 
       4.713151529487e-03       2.045297446840e+04 
       4.821247726712e-03       2.076356488340e+04 
       4.929554350285e-03       2.106868782968e+04 
       5.038059334664e-03       2.136834979511e+04 
       5.146751520224e-03       2.166257306241e+04 
       5.255620575196e-03       2.195137431315e+04 
       5.364656925092e-03       2.223478423801e+04 
       5.473851688853e-03       2.251281364804e+04 
       5.583196621035e-03       2.278551287711e+04 
       5.692684059437e-03       2.305290279639e+04 
       5.802306877601e-03       2.331502300845e+04 
       5.912058441713e-03       2.357190941665e+04 
       6.021932571446e-03       2.382360207956e+04 
       6.131923504366e-03       2.407013365832e+04 
       6.242025863534e-03       2.431157912411e+04 
       6.352234628010e-03       2.454794877483e+04 
       6.462545105948e-03       2.477929460328e+04 
       6.572952910051e-03       2.500566890233e+04 
       6.683453935152e-03       2.522711695596e+04 
       6.794044337716e-03       2.544368896157e+04 
       6.904720517079e-03       2.565542205647e+04 
       7.015479098275e-03       2.586237796763e+04 
       7.126316916277e-03       2.606459091817e+04 
       7.237231001548e-03       2.626212551345e+04 
       7.348218566769e-03       2.645501840721e+04 
       7.459276994633e-03       2.664332879819e+04 
       7.570403826622e-03       2.682709724832e+04 
       7.681596752669e-03       2.700639411660e+04 
       7.792853601634e-03       2.718124470375e+04 
       7.904172332519e-03       2.735170003762e+04 
       8.015551026358e-03       2.751783232350e+04 
       8.126987878725e-03       2.767967269376e+04 
       8.238481192813e-03       2.783725540797e+04 
       8.350029373024e-03       2.799067648152e+04 
       8.461630919043e-03       2.813994127572e+04 
       8.573284420341e-03       2.828511277159e+04 
       8.684988551082e-03       2.842622578627e+04 
       8.796742065404e-03       2.856335866257e+04 
       8.908543793029e-03       2.869653708917e+04 
       9.020392635194e-03       2.882582253761e+04 
       9.132287560868e-03       2.895123258146e+04 
       9.244227603231e-03       2.907285259748e+04 
       9.356211856406e-03       2.919073310029e+04 
       9.468239472414e-03       2.930486299999e+04 
       9.580309658337e-03       2.941532797697e+04 
       9.692421673679e-03       2.952217708135e+04 
       9.804574827907e-03       2.962545912886e+04 
       9.916768478159e-03       2.972519279326e+04 
       1.002900202710e-02       2.982143726033e+04 
       1.014127492095e-02       2.991423623219e+04 
       1.025358664760e-02       3.000365277627e+04 
       1.036593673488e-02       3.008970672989e+04 
       1.047832474897e-02       3.017242657949e+04 
       1.059075029286e-02       3.025189664053e+04 
       1.070321300496e-02       3.032811094777e+04 
       1.081571255778e-02       3.040118611936e+04 
       1.092824865671e-02       3.047107296501e+04 
       1.104082103886e-02       3.053787723880e+04 
       1.115342947205e-02       3.060160672159e+04 
       1.126607375373e-02       3.066230146653e+04 
       1.137875371015e-02       3.072003150596e+04 
       1.149146919543e-02       3.077481116545e+04 
       1.160422009082e-02       3.082669776844e+04 
       1.171700630389e-02       3.087570543880e+04 
       1.182982776790e-02       3.092187729303e+04 
       1.194268444115e-02       3.096528449880e+04 
       1.205557630635e-02       3.100590055880e+04 
       1.216850337014e-02       3.104383169122e+04 
       1.228146566253e-02       3.107908618394e+04 
       1.239446323645e-02       3.111166449857e+04 
       1.250749616736e-02       3.114167173511e+04 
       1.262056455281e-02       3.116909414036e+04 
       1.273366851212e-02       3.119398113152e+04 
       1.284680818605e-02       3.121636962672e+04 
       1.295998373653e-02       3.123629274931e+04 
       1.307319534634e-02       3.125375198352e+04 
       1.318644321896e-02       3.126887781849e+04 
       1.329972757831e-02       3.128183803595e+04 
       1.341304866858e-02       3.129235633701e+04 
       1.352640675410e-02       3.130044964066e+04 
       1.363980211921e-02       3.130625446230e+04 
       1.375323506810e-02       3.130986631307e+04 
       1.386670592483e-02       3.131124378111e+04 
       1.398021503316e-02       3.131046853809e+04 
       1.409376275660e-02       3.130756595119e+04 
       1.420734947833e-02       3.130249968529e+04 
       1.432097560123e-02       3.129539596686e+04 
       1.443464154790e-02       3.128624459586e+04 
       1.454834776069e-02       3.127507618652e+04 
       1.466209470175e-02       3.126189924242e+04 
       1.477588285314e-02       3.124674760965e+04 
       1.488971271689e-02       3.122967992618e+04 
       1.500358481509e-02       3.121076473151e+04 
       1.511749969009e-02       3.118990215533e+04 
       1.523145790458e-02       3.116723488436e+04 
       1.534546004177e-02       3.114278390034e+04 
       1.545950670556e-02       3.111650199704e+04 
       1.557359852077e-02       3.108848970937e+04 
       1.568773613330e-02       3.105870244016e+04 
       1.580192021036e-02       3.102727108826e+04 
       1.591615144076e-02       3.099413133908e+04 
       1.603043053512e-02       3.095938872717e+04 
       1.614475822615e-02       3.092295711159e+04 
       1.625913526894e-02       3.088494617132e+04 
       1.637356244130e-02       3.084541451384e+04 
       1.648804054401e-02       3.080434273426e+04 
       1.660257040124e-02       3.076173403883e+04 
       1.671715286081e-02       3.071766578450e+04 
       1.683178879467e-02       3.067208320262e+04 
       1.694647909916e-02       3.062510142747e+04 
       1.706122469554e-02       3.057672514869e+04 
       1.717602653029e-02       3.052692675125e+04 
       1.729088557565e-02       3.047579539323e+04 
       1.740580282999e-02       3.042332798361e+04 
       1.752077931833e-02       3.036958878175e+04 
       1.763581609284e-02       3.031448981469e+04 
       1.775091423327e-02       3.025817723754e+04 
       1.786607484759e-02       3.020065260164e+04 
       1.798129907241e-02       3.014185945697e+04 
       1.809658807367e-02       3.008193234293e+04 
       1.821194304711e-02       3.002076722687e+04 
       1.832736521894e-02       2.995849907887e+04 
       1.844285584646e-02       2.989515668736e+04 
       1.855841621868e-02       2.983063111503e+04 
       1.867404765700e-02       2.976510226977e+04 
