# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 9500, i.e. number of multipoles equal to 9499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.409703407750e-10       3.447295825766e-15       2.676323273156e-13       2.207823483552e-19       6.712337196619e-09       5.203932579207e-10      -1.497008282941e-12 
    3       1.295652416202e-10       4.011193935990e-15       3.070290226473e-13       4.413712437831e-19       4.128727673615e-09       3.628647914660e-10      -1.069891109952e-12 
    4       1.202403277407e-10       3.093213905683e-15       2.865238190646e-13       7.354840550890e-19       2.874481000509e-09       2.722158408516e-10      -6.300683028052e-13 
    5       1.135955042033e-10       1.835200299487e-15       2.404142972653e-13       1.103255543968e-18       2.146630632239e-09       2.136419916781e-10      -2.845539671250e-13 
    6       1.090867456699e-10       9.567596872552e-16       1.905183613267e-13       1.544809967749e-18       1.677646584376e-09       1.730246905984e-10      -5.674183362579e-14 
    7       1.061523504047e-10       5.452135756653e-16       1.481252248173e-13       2.060258265181e-18       1.353866475780e-09       1.434837979327e-10       6.319164608939e-14 
    8       1.043609611979e-10       3.932845395769e-16       1.176376953601e-13       2.649721586877e-18       1.119060769729e-09       1.212325063144e-10       1.008506126865e-13 
    9       1.034021104101e-10       3.199199374278e-16       9.929057125220e-14       3.313340500496e-18       9.423659635801e-10       1.039976269532e-10       8.714937594048e-14 
   10       1.030583384452e-10       2.634135071770e-16       9.110433117762e-14       4.051271598217e-18       8.055063598833e-10       9.032819603116e-11       5.075873972095e-14 
   11       1.031776597370e-10       2.270118294147e-16       9.027663487737e-14       4.863682630229e-18       6.970131975050e-10       7.926056351600e-11       1.320244952473e-14 
   12       1.036542028818e-10       2.161315603986e-16       9.408080073314e-14       5.750750163301e-18       6.093505636102e-10       7.013792513681e-11      -1.317133964298e-14 
   13       1.044136226076e-10       2.237940803914e-16       1.003509678686e-13       6.712658255796e-18       5.373778444259e-10       6.250486122893e-11      -2.459830139508e-14 
   14       1.054020973958e-10       2.432005220330e-16       1.076648836265e-13       7.749596746997e-18       4.774788688633e-10       5.604057807492e-11      -2.350761817388e-14 
   15       1.065802408948e-10       2.750550987385e-16       1.153183179171e-13       8.861759498410e-18       4.270413149292e-10       5.051461561763e-11      -1.541622077203e-14 
   16       1.079177676510e-10       3.232295842940e-16       1.231526772226e-13       1.004934311411e-17       3.841360261977e-10       4.575623221356e-11      -6.093332795024e-15 
   17       1.093901829903e-10       3.892717474196e-16       1.313049194722e-13       1.131254605084e-17       3.473101091610e-10       4.163380321452e-11       3.557897003222e-16 
   18       1.109786047203e-10       4.722599269087e-16       1.399583684858e-13       1.265156767264e-17       3.154500925231e-10       3.804171370441e-11       2.257290068942e-15 
   19       1.126675957665e-10       5.713090493621e-16       1.491646993262e-13       1.406660717888e-17       2.876908830279e-10       3.489275781187e-11       1.286571217135e-16 
   20       1.144445165773e-10       6.864848522482e-16       1.587811898525e-13       1.555786247933e-17       2.633502913418e-10       3.211503721003e-11      -4.188505202518e-15 
   21       1.163001180701e-10       8.179692089344e-16       1.685050000425e-13       1.712552916414e-17       2.418841821275e-10       2.964893112483e-11      -8.568389273106e-15 
   22       1.182265273269e-10       9.656358866696e-16       1.779656035488e-13       1.876979946504e-17       2.228545356485e-10       2.744657149406e-11      -1.143312971644e-14 
   23       1.202179742130e-10       1.129722421271e-15       1.868298331863e-13       2.049086127552e-17       2.059043065675e-10       2.546954643269e-11      -1.216427986236e-14 
