# Matter power spectrum P(k) at redshift z=0
# for k=9.1423e-06 to 147.875 h/Mpc,
# number of wavenumbers equal to 1050
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.142301666472e-06       5.447706870531e+01 
       2.042836522964e-05       1.207250542812e+02 
       3.174488627200e-05       1.867502188557e+02 
       4.311522688834e-05       2.528360926899e+02 
       5.456304624503e-05       3.191830140633e+02 
       6.611246267637e-05       3.859646122891e+02 
       7.778821979947e-05       4.533441915026e+02 
       8.961585837474e-05       5.214817444989e+02 
       1.016218956535e-04       5.905378710112e+02 
       1.138340139722e-04       6.606762441534e+02 
       1.262812603695e-04       7.320658431691e+02 
       1.389942590079e-04       8.048824097367e+02 
       1.520054381692e-04       8.793101637119e+02 
       1.653492735403e-04       9.555432952575e+02 
       1.790625494058e-04       1.033787502621e+03 
       1.931846391797e-04       1.114261568819e+03 
       2.077578064151e-04       1.197198977206e+03 
       2.228275269856e-04       1.282849605518e+03 
       2.384428324857e-04       1.371481465491e+03 
       2.546566739757e-04       1.463382510856e+03 
       2.715263039391e-04       1.558862472941e+03 
       2.891136726136e-04       1.658254714150e+03 
       3.074858326140e-04       1.761918040312e+03 
       3.267153428614e-04       1.870238415732e+03 
       3.468806591565e-04       1.983630498868e+03 
       3.680664941965e-04       2.102538901540e+03 
       3.903641243701e-04       2.227438981290e+03 
       4.138716143203e-04       2.358837069834e+03 
       4.386939231933e-04       2.497269839485e+03 
       4.649428490900e-04       2.643302638141e+03 
       4.927367611679e-04       2.797526426629e+03 
       5.222000631630e-04       2.960553079818e+03 
       5.534623293071e-04       3.133008706514e+03 
       5.866570556135e-04       3.315524770565e+03 
       6.219199785383e-04       3.508726589270e+03 
       6.593869313033e-04       3.713219537529e+03 
       6.991912374024e-04       3.929572587930e+03 
       7.414606814090e-04       4.158299924027e+03 
       7.863141474468e-04       4.399840913530e+03 
       8.338580709961e-04       4.654539924408e+03 
       8.841829024428e-04       4.922626607178e+03 
       9.373598209100e-04       5.204198740657e+03 
       9.934379538704e-04       5.499208713899e+03 
       1.052442343416e-03       5.807455342871e+03 
       1.114372850639e-03       6.128581884063e+03 
       1.179204109393e-03       6.462080860595e+03 
       1.246886541097e-03       6.807305362990e+03 
       1.317348339777e-03       7.163485915560e+03 
       1.390498248551e-03       7.529751813443e+03 
       1.466228889144e-03       7.905154222199e+03 
       1.544420381770e-03       8.288692520836e+03 
       1.624944002913e-03       8.679336617772e+03 
       1.707665665943e-03       9.076050104284e+03 
       1.792449063302e-03       9.477810273825e+03 
       1.879158367967e-03       9.883622953292e+03 
       1.967660447027e-03       1.029253742503e+04 
       2.057826585552e-03       1.070365700465e+04 
       2.149533751954e-03       1.111615767404e+04 
       2.242665456852e-03       1.152923948507e+04 
       2.337112267704e-03       1.194218591573e+04 
       2.432772043708e-03       1.235434313211e+04 
       2.529549952208e-03       1.276511837888e+04 
       2.627358321337e-03       1.317397600003e+04 
       2.726116375589e-03       1.358043602023e+04 
       2.825749892675e-03       1.398406773327e+04 
       2.926190812134e-03       1.438448981444e+04 
       3.027376819179e-03       1.478136377473e+04 
       3.129250921308e-03       1.517439051548e+04 
       3.231761030324e-03       1.556330735345e+04 
       3.334859558548e-03       1.594788476038e+04 
       3.438503034957e-03       1.632792320710e+04 
       3.542651744717e-03       1.670325019437e+04 
       3.647269393861e-03       1.707371676763e+04 
       3.752322799653e-03       1.743919607065e+04 
       3.857781606312e-03       1.779958338108e+04 
       3.963618025201e-03       1.815478554425e+04 
       4.069806598198e-03       1.850472908280e+04 
       4.176323982780e-03       1.884935686950e+04 
       4.283148757222e-03       1.918861627621e+04 
       4.390261244310e-03       1.952247580516e+04 
       4.497643351974e-03       1.985090571636e+04 
       4.605278429334e-03       2.017389080672e+04 
       4.713151136718e-03       2.049141584707e+04 
       4.821247328329e-03       2.080348561808e+04 
       4.929553946317e-03       2.111009771003e+04 
       5.038058925136e-03       2.141126618660e+04 
       5.146751105159e-03       2.170700540784e+04 
       5.255620154617e-03       2.199733468985e+04 
       5.364656499021e-03       2.228228110379e+04 
       5.473851257308e-03       2.256186525844e+04 
       5.583196184035e-03       2.283612090575e+04 
       5.692683616999e-03       2.310508384911e+04 
       5.802306429742e-03       2.336878873874e+04 
       5.912057988447e-03       2.362725906832e+04 
       6.021932112788e-03       2.388056625061e+04 
       6.131923040328e-03       2.412872607010e+04 
       6.242025394130e-03       2.437178303157e+04 
       6.352234153252e-03       2.460979321112e+04 
       6.462544625846e-03       2.484278036920e+04 
       6.572952424615e-03       2.507082026915e+04 
       6.683453444393e-03       2.529394512502e+04 
       6.794043841641e-03       2.551219432942e+04 
       6.904720015699e-03       2.572561710052e+04 
       7.015478591597e-03       2.593428356073e+04 
       7.126316404309e-03       2.613821089325e+04 
       7.237230484298e-03       2.633745296870e+04 
       7.348218044243e-03       2.653209869485e+04 
       7.459276466838e-03       2.672214771446e+04 
       7.570403293563e-03       2.690769263814e+04 
       7.681596214352e-03       2.708875677151e+04 
       7.792853058065e-03       2.726537618053e+04 
       7.904171783704e-03       2.743761174109e+04 
       8.015550472300e-03       2.760553901263e+04 
       8.126987319430e-03       2.776916803487e+04 
       8.238480628285e-03       2.792857660465e+04 
       8.350028803267e-03       2.808380834266e+04 
       8.461630344060e-03       2.823491161941e+04 
       8.573283840135e-03       2.838191240062e+04 
       8.684987965658e-03       2.852486526642e+04 
       8.796741474765e-03       2.866385721091e+04 
       8.908543197178e-03       2.879888804169e+04 
       9.020392034133e-03       2.893002145267e+04 
       9.132286954600e-03       2.905731766326e+04 
       9.244226991758e-03       2.918079865959e+04 
       9.356211239732e-03       2.930052963137e+04 
       9.468238850540e-03       2.941654954283e+04 
       9.580309031264e-03       2.952889653567e+04 
       9.692421041410e-03       2.963764029822e+04 
       9.804574190444e-03       2.974278273786e+04 
       9.916767835502e-03       2.984442048705e+04 
       1.002900137926e-02       2.994254237812e+04 
       1.014127426791e-02       3.003723645671e+04 
       1.025358598937e-02       3.012852242451e+04 
       1.036593607146e-02       3.021648434957e+04 
       1.047832408037e-02       3.030109300525e+04 
       1.059074961907e-02       3.038243083754e+04 
       1.070321232599e-02       3.046055846911e+04 
       1.081571187362e-02       3.053549881167e+04 
       1.092824796737e-02       3.060728269675e+04 
       1.104082034434e-02       3.067595754207e+04 
       1.115342877234e-02       3.074156144522e+04 
       1.126607304884e-02       3.080412839452e+04 
       1.137875300008e-02       3.086375940421e+04 
       1.149146848018e-02       3.092042195184e+04 
       1.160421937038e-02       3.097414155866e+04 
       1.171700557827e-02       3.102501583992e+04 
       1.182982703710e-02       3.107306774882e+04 
       1.194268370516e-02       3.111832086161e+04 
       1.205557556519e-02       3.116081796453e+04 
       1.216850262379e-02       3.120060904395e+04 
       1.228146491100e-02       3.123771098153e+04 
       1.239446247974e-02       3.127216766099e+04 
       1.250749540546e-02       3.130402064156e+04 
       1.262056378572e-02       3.133329224854e+04 
       1.273366773984e-02       3.136003492177e+04 
       1.284680740859e-02       3.138427736041e+04 
       1.295998295388e-02       3.140604992940e+04 
       1.307319455850e-02       3.142540881735e+04 
       1.318644242593e-02       3.144235394216e+04 
       1.329972678009e-02       3.145690967081e+04 
       1.341304786517e-02       3.146917540024e+04 
       1.352640594550e-02       3.147913551177e+04 
       1.363980130541e-02       3.148680435747e+04 
       1.375323424911e-02       3.149227502666e+04 
       1.386670510064e-02       3.149550506834e+04 
       1.398021420377e-02       3.149660584266e+04 
       1.409376192201e-02       3.149553571407e+04 
       1.420734863853e-02       3.149236142920e+04 
       1.432097475623e-02       3.148713370492e+04 
       1.443464069769e-02       3.147983783049e+04 
       1.454834690528e-02       3.147057288744e+04 
       1.466209384113e-02       3.145927842596e+04 
       1.477588198731e-02       3.144603152058e+04 
       1.488971184584e-02       3.143087513528e+04 
       1.500358393883e-02       3.141379325015e+04 
       1.511749880861e-02       3.139490390133e+04 
       1.523145701788e-02       3.137408402328e+04 
       1.534545914984e-02       3.135149747145e+04 
       1.545950580842e-02       3.132716319382e+04 
       1.557359761840e-02       3.130101701065e+04 
       1.568773522569e-02       3.127317403771e+04 
       1.580191929752e-02       3.124362700780e+04 
       1.591615052269e-02       3.121239508317e+04 
       1.603042961181e-02       3.117954776891e+04 
       1.614475729759e-02       3.114506301488e+04 
       1.625913433514e-02       3.110890161983e+04 
       1.637356150225e-02       3.107129664869e+04 
       1.648803959971e-02       3.103209899369e+04 
       1.660256945168e-02       3.099138200040e+04 
       1.671715190600e-02       3.094925258768e+04 
       1.683178783459e-02       3.090559298450e+04 
       1.694647813382e-02       3.086051146819e+04 
       1.706122372493e-02       3.081399782581e+04 
       1.717602555441e-02       3.076607094948e+04 
       1.729088459449e-02       3.071684846623e+04 
       1.740580184355e-02       3.066625580202e+04 
       1.752077832661e-02       3.061434643399e+04 
       1.763581509582e-02       3.056111312720e+04 
       1.775091323097e-02       3.050669304851e+04 
       1.786607383998e-02       3.045100085867e+04 
       1.798129805951e-02       3.039406862381e+04 
       1.809658705545e-02       3.033594014969e+04 
       1.821194202358e-02       3.027664394241e+04 
       1.832736419010e-02       3.021621554493e+04 
       1.844285481230e-02       3.015467924978e+04 
       1.855841517919e-02       3.009202227065e+04 
       1.867404661218e-02       3.002824733382e+04 
       1.878975046575e-02       2.996347603997e+04 
       1.890552812816e-02       2.989764477870e+04 
       1.902138102221e-02       2.983074878555e+04 
       1.913731060597e-02       2.976289453514e+04 
       1.925331837360e-02       2.969411772200e+04 
       1.936940585609e-02       2.962428768285e+04 
       1.948557462219e-02       2.955357456196e+04 
       1.960182627919e-02       2.948195506992e+04 
       1.971816247384e-02       2.940946283949e+04 
       1.983458489328e-02       2.933611964179e+04 
       1.995109526596e-02       2.926186623900e+04 
       2.006769536263e-02       2.918677764132e+04 
       2.018438699735e-02       2.911093395879e+04 
       2.030117202854e-02       2.903425844084e+04 
       2.041805236001e-02       2.895684248555e+04 
       2.053502994213e-02       2.887865233723e+04 
       2.065210677291e-02       2.879970928550e+04 
       2.076928489924e-02       2.872007864621e+04 
       2.088656641804e-02       2.863969224276e+04 
       2.100395347759e-02       2.855867300112e+04 
       2.112144827877e-02       2.847704512397e+04 
       2.123905307642e-02       2.839463693625e+04 
       2.135677018072e-02       2.831164092013e+04 
       2.147460195863e-02       2.822808025375e+04 
       2.159255083534e-02       2.814397607151e+04 
       2.171061929582e-02       2.805918657861e+04 
       2.182880988636e-02       2.797387957436e+04 
       2.194712521623e-02       2.788803807979e+04 
       2.206556795934e-02       2.780166767469e+04 
       2.218414085597e-02       2.771471894666e+04 
       2.230284671457e-02       2.762735065866e+04 
       2.242168841363e-02       2.753945575416e+04 
       2.254066890356e-02       2.745111669386e+04 
       2.265979120871e-02       2.736229708702e+04 
       2.277905842939e-02       2.727306497616e+04 
