# Matter power spectrum P(k) at redshift z=0
# for k=1.01057e-05 to 16.0343 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010567660607e-05       4.123487928899e+01 
       1.272229308276e-05       5.178883114028e+01 
       1.601641805818e-05       6.504398703525e+01 
       2.016347569936e-05       8.169165003102e+01 
       2.538431194801e-05       1.025999954169e+02 
       3.195695537226e-05       1.288592762156e+02 
       4.023142320171e-05       1.618385357893e+02 
       5.064836102128e-05       2.032567115796e+02 
       6.376250875542e-05       2.552716936100e+02 
       8.027224259195e-05       3.205916998856e+02 
       1.010567660607e-04       4.026142284831e+02 
       1.272229308276e-04       5.055987743586e+02 
       1.601641805818e-04       6.348802928474e+02 
       2.016347569936e-04       7.971307064155e+02 
       2.538431194801e-04       1.000674920841e+03 
       3.195695537226e-04       1.255864635866e+03 
       4.023142320171e-04       1.575505646825e+03 
       5.064836102128e-04       1.975319062016e+03 
       6.376250875542e-04       2.474389131997e+03 
       8.027224259195e-04       3.095504107652e+03 
       1.010567660607e-03       3.865225627187e+03 
       1.272229308276e-03       4.813423967076e+03 
       1.601641805818e-03       5.971898433811e+03 
       2.016347569936e-03       7.371590766283e+03 
       2.538431194801e-03       9.037849165193e+03 
       3.195695537226e-03       1.098329407399e+04 
       4.023142320171e-03       1.319816008876e+04 
       5.064836102128e-03       1.563854849576e+04 
       6.376250875542e-03       1.821354383037e+04 
       8.027224259195e-03       2.077165025793e+04 
       1.010567660607e-02       2.308357797148e+04 
       1.272229308276e-02       2.481322792312e+04 
       1.601641805817e-02       2.549234054764e+04 
       2.016347563120e-02       2.466006606332e+04 
       2.538424742179e-02       2.237383256688e+04 
       3.194628828368e-02       1.937671208073e+04 
       3.981580591431e-02       1.642551545392e+04 
       4.677599702438e-02       1.433086736939e+04 
       5.177660185307e-02       1.305105070220e+04 
       5.584721741271e-02       1.212229423428e+04 
       5.945691123849e-02       1.137219892963e+04 
       6.281029148883e-02       1.073050176613e+04 
       6.601377474743e-02       1.016231080359e+04 
       6.913037630689e-02       9.647833406052e+03 
       7.220110245023e-02       9.174773463361e+03 
       7.525463962615e-02       8.734976551426e+03 
       7.831225978875e-02       8.322763641256e+03 
       8.139052304976e-02       7.934026682264e+03 
       8.450286834099e-02       7.565702740446e+03 
       8.766060030512e-02       7.215450987372e+03 
       9.087352842891e-02       6.881445189155e+03 
       9.415039583585e-02       6.562235317464e+03 
       9.749917548330e-02       6.256652283835e+03 
       1.009272797443e-01       5.963740542325e+03 
       1.044417116238e-01       5.682709254910e+03 
       1.080491755519e-01       5.412896150257e+03 
       1.117561594971e-01       5.153740264944e+03 
       1.155689963021e-01       4.904761029457e+03 
       1.194939097031e-01       4.665541971474e+03 
       1.235370489191e-01       4.435717837688e+03 
       1.277045146573e-01       4.214964288361e+03 
       1.320023786914e-01       4.002989559271e+03 
       1.364366987157e-01       3.799527652543e+03 
       1.410135298659e-01       3.604332735368e+03 
       1.457389341043e-01       3.417174509604e+03 
       1.506189885302e-01       3.237834375796e+03 
       1.556597935959e-01       3.066102259121e+03 
       1.608674821571e-01       2.901773996777e+03 
       1.662482302511e-01       2.744649209486e+03 
       1.718082704781e-01       2.594529596457e+03 
       1.775539088464e-01       2.451217604821e+03 
       1.834915459329e-01       2.314515432564e+03 
       1.896277032052e-01       2.184224329227e+03 
       1.959690553548e-01       2.060144161826e+03 
       2.025224695013e-01       1.942073215271e+03 
       2.092950521574e-01       1.829808197448e+03 
       2.162942049011e-01       1.723144419563e+03 
       2.235276897882e-01       1.621876122550e+03 
       2.310037056847e-01       1.525796920773e+03 
       2.387309768997e-01       1.434700334818e+03 
       2.467188557942e-01       1.348380386272e+03 
       2.549774414421e-01       1.266632228813e+03 
       2.635177169598e-01       1.189252791876e+03 
       2.723517088472e-01       1.116041415457e+03 
       2.814926726374e-01       1.046800457145e+03 
       2.909553104207e-01       9.813358552369e+02 
       3.007560274862e-01       9.194576345302e+02 
       3.109132375527e-01       8.609803440230e+02 
       3.214477290577e-01       8.057234181683e+02 
       3.323831090244e-01       7.535114553359e+02 
       3.437463465828e-01       7.041744086612e+02 
       3.555684459323e-01       6.575476853391e+02 
       3.678852893939e-01       6.134721505154e+02 
       3.807387067387e-01       5.717940310406e+02 
       3.941778495831e-01       5.323647122095e+02 
       4.082609831431e-01       4.950404168021e+02 
       4.230578582814e-01       4.596817496163e+02 
       4.386529050437e-01       4.261530812053e+02 
       4.551496127669e-01       3.943217299906e+02 
       4.726766632787e-01       3.640568794881e+02 
       4.913967211566e-01       3.352281322872e+02 
       5.115193695504e-01       3.077035464751e+02 
       5.333207315239e-01       2.813469092774e+02 
       5.571742908041e-01       2.560138522979e+02 
       5.836013159093e-01       2.315461617072e+02 
       6.133573930605e-01       2.077632230208e+02 
       6.475895293993e-01       1.844489103438e+02 
       6.881409017813e-01       1.613315760541e+02 
       7.381886208798e-01       1.380559360042e+02 
       8.036874768539e-01       1.141596478378e+02 
       8.967878469012e-01       8.915486250757e+01 
       1.042610086380e+00       6.322975986973e+01 
       1.276826791341e+00       3.957303403247e+01 
       1.603502834811e+00       2.317556189881e+01 
       2.018601496544e+00       1.338563650784e+01 
       2.541268314879e+00       7.671074615985e+00 
       3.199267259517e+00       4.364646326598e+00 
       4.027638852127e+00       2.466754420510e+00 
       5.070496900472e+00       1.385433808161e+00 
       6.383377398427e+00       7.736061786457e-01 
