# Matter power spectrum P(k) at redshift z=0
# for k=1.01057e-05 to 16.0343 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010567660416e-05       4.117231011101e+01 
       1.272229308035e-05       5.171024454801e+01 
       1.601641805515e-05       6.494526881377e+01 
       2.016347569554e-05       8.156762412229e+01 
       2.538431194322e-05       1.024441375311e+02 
       3.195695536622e-05       1.286633562635e+02 
       4.023142319411e-05       1.615921244919e+02 
       5.064836101171e-05       2.029465285469e+02 
       6.376250874337e-05       2.548806776937e+02 
       8.027224257678e-05       3.200976481358e+02 
       1.010567660416e-04       4.019876397462e+02 
       1.272229308035e-04       5.047992336087e+02 
       1.601641805515e-04       6.338500783569e+02 
       2.016347569554e-04       7.957830164438e+02 
       2.538431194322e-04       9.988717999410e+02 
       3.195695536622e-04       1.253375943479e+03 
       4.023142319411e-04       1.571935626700e+03 
       5.064836101171e-04       1.969984575549e+03 
       6.376250874337e-04       2.466141471235e+03 
       8.027224257678e-04       3.082511216308e+03 
       1.010567660416e-03       3.844749591332e+03 
       1.272229308035e-03       4.781585802767e+03 
       1.601641805515e-03       5.923677867454e+03 
       2.016347569554e-03       7.300635349205e+03 
       2.538431194322e-03       8.937147914015e+03 
       3.195695536622e-03       1.084666731879e+04 
       4.023142319411e-03       1.302361968530e+04 
       5.064836101171e-03       1.543304677987e+04 
       6.376250874337e-03       1.799692157902e+04 
       8.027224257678e-03       2.057757502872e+04 
       1.010567660416e-02       2.296220796551e+04 
       1.272229308035e-02       2.484992805946e+04 
       1.601641805514e-02       2.586056592027e+04 
       2.016347562739e-02       2.558593744020e+04 
       2.538424741695e-02       2.376547384881e+04 
       3.194628827247e-02       2.060089538261e+04 
       3.981580577258e-02       1.712577609890e+04 
       4.677599642333e-02       1.495072834389e+04 
       5.177660095752e-02       1.388118759661e+04 
       5.584721633271e-02       1.321969831224e+04 
       5.945691002081e-02       1.272142949619e+04 
       6.281029015701e-02       1.228589675587e+04 
       6.601377331488e-02       1.186297629096e+04 
       6.913037478181e-02       1.142574995524e+04 
       7.220110083783e-02       1.096103093177e+04 
       7.525463792976e-02       1.046508180829e+04 
       7.831225801043e-02       9.941240592318e+03 
       8.139052119068e-02       9.398225030007e+03 
       8.450286640166e-02       8.848510946545e+03 
       8.766059828552e-02       8.306570417069e+03 
       9.087352632860e-02       7.787297268321e+03 
       9.415039365409e-02       7.304197162950e+03 
       9.749917321900e-02       6.868016118218e+03 
       1.009272773962e-01       6.485602248086e+03 
       1.044417091903e-01       6.159071569540e+03 
       1.080491730311e-01       5.885678482684e+03 
       1.117561568873e-01       5.657739367143e+03 
       1.155689936010e-01       5.463271169362e+03 
       1.194939069083e-01       5.287099444878e+03 
       1.235370460282e-01       5.112702700576e+03 
       1.277045116675e-01       4.924774872299e+03 
       1.320023756000e-01       4.712136610984e+03 
       1.364366955195e-01       4.470337600321e+03 
       1.410135265619e-01       4.203049207428e+03 
       1.457389306891e-01       3.921478480640e+03 
       1.506189850002e-01       3.641810402677e+03 
       1.556597899476e-01       3.381241993274e+03 
       1.608674783866e-01       3.153658398902e+03 
       1.662482263543e-01       2.966180815022e+03 
       1.718082664509e-01       2.817299438993e+03 
       1.775539046845e-01       2.697206580115e+03 
       1.834915416318e-01       2.591019938235e+03 
       1.896276987603e-01       2.481555692913e+03 
       1.959690507613e-01       2.355688369862e+03 
       2.025224647541e-01       2.210637765455e+03 
       2.092950472515e-01       2.054474724182e+03 
       2.162941998311e-01       1.901350403829e+03 
       2.235276845488e-01       1.764759166748e+03 
       2.310037002701e-01       1.652402337672e+03 
       2.387309713042e-01       1.563174053582e+03 
       2.467188500118e-01       1.487346986949e+03 
       2.549774354666e-01       1.412013786287e+03 
       2.635177107849e-01       1.328670878044e+03 
       2.723517024664e-01       1.237542651764e+03 
       2.814926660438e-01       1.146903384679e+03 
       2.909553036075e-01       1.066645933232e+03 
       3.007560204461e-01       1.000342738539e+03 
       3.109132302784e-01       9.438833671117e+02 
       3.214477215414e-01       8.894837558525e+02 
       3.323831012581e-01       8.320102783779e+02 
       3.437463385582e-01       7.733041854845e+02 
       3.555684376407e-01       7.187451545056e+02 
       3.678852808264e-01       6.714197130669e+02 
       3.807386978859e-01       6.287765342162e+02 
       3.941778404354e-01       5.867915159919e+02 
       4.082609736903e-01       5.446249576755e+02 
       4.230578485129e-01       5.047154223496e+02 
       4.386528949487e-01       4.684562227784e+02 
       4.551496023343e-01       4.344791221233e+02 
       4.726766524971e-01       4.010151570812e+02 
       4.913967100151e-01       3.688566488921e+02 
       5.115193580385e-01       3.389181912304e+02 
       5.333207196332e-01       3.100250493470e+02 
       5.571742785298e-01       2.819679016780e+02 
       5.836013032536e-01       2.551345027969e+02 
       6.133573800399e-01       2.289201603361e+02 
       6.475895160587e-01       2.032574369919e+02 
       6.881408882246e-01       1.777806599460e+02 
       7.381886073417e-01       1.521365644781e+02 
       8.036874638760e-01       1.257806608450e+02 
       8.967878357531e-01       9.817880436007e+01 
       1.042610079571e+00       6.955724492160e+01 
       1.276826789716e+00       4.344388217386e+01 
       1.603502834263e+00       2.536464867609e+01 
       2.018601495903e+00       1.459653636353e+01 
       2.541268314073e+00       8.332021481381e+00 
       3.199267258501e+00       4.721685469836e+00 
       4.027638850848e+00       2.658071205472e+00 
       5.070496898862e+00       1.487340025065e+00 
       6.383377396401e+00       8.276657410125e-01 
       8.036196017402e+00       4.582436789795e-01 
       1.011697138047e+01       2.525272997537e-01 
       1.273651236126e+01       1.385605807334e-01 
       1.603431906923e+01       7.572155366088e-02 
