# Matter power spectrum P(k) at redshift z=0
# for k=1.01057e-05 to 16.0343 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010567660416e-05       4.117198607314e+01 
       1.272229308035e-05       5.170983812730e+01 
       1.601641805515e-05       6.494475947266e+01 
       2.016347569554e-05       8.156698661095e+01 
       2.538431194322e-05       1.024433412187e+02 
       3.195695536622e-05       1.286623648325e+02 
       4.023142319411e-05       1.615908966149e+02 
       5.064836101171e-05       2.029450208465e+02 
       6.376250874337e-05       2.548788526572e+02 
       8.027224257678e-05       3.200954923996e+02 
       1.010567660416e-04       4.019852036307e+02 
       1.272229308035e-04       5.047967136475e+02 
       1.601641805515e-04       6.338479860362e+02 
       2.016347569554e-04       7.957825185833e+02 
       2.538431194322e-04       9.988753984366e+02 
       3.195695536622e-04       1.253388820392e+03 
       4.023142319411e-04       1.571968278642e+03 
       5.064836101171e-04       1.970057902783e+03 
       6.376250874337e-04       2.466296412845e+03 
       8.027224257678e-04       3.082826436368e+03 
       1.010567660416e-03       3.845372395377e+03 
       1.272229308035e-03       4.782782102791e+03 
       1.601641805515e-03       5.925903424332e+03 
       2.016347569554e-03       7.304617862050e+03 
       2.538431194322e-03       8.943956952465e+03 
       3.195695536622e-03       1.085777053041e+04 
       4.023142319411e-03       1.304095636061e+04 
       5.064836101171e-03       1.545898537288e+04 
       6.376250874337e-03       1.803422555326e+04 
       8.027224257678e-03       2.062959027855e+04 
       1.010567660416e-02       2.303270343464e+04 
       1.272229308035e-02       2.494177030690e+04 
       1.601641805514e-02       2.597318255220e+04 
       2.016347562739e-02       2.571623026113e+04 
       2.538424741695e-02       2.390329408200e+04 
       3.194628827247e-02       2.073411007650e+04 
       3.981580577258e-02       1.724631906577e+04 
       4.677599642333e-02       1.506147793231e+04 
       5.177660095752e-02       1.398691698833e+04 
       5.584721633271e-02       1.332229024997e+04 
       5.945691002081e-02       1.282157011747e+04 
       6.281029015701e-02       1.238373698320e+04 
       6.601377331488e-02       1.195838259931e+04 
