# Matter power spectrum P(k) at redshift z=0
# for k=1.01057e-05 to 16.0343 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010567660416e-05       4.117198607526e+01 
       1.272229308035e-05       5.170983813170e+01 
       1.601641805515e-05       6.494475948176e+01 
       2.016347569554e-05       8.156698662972e+01 
       2.538431194322e-05       1.024433412573e+02 
       3.195695536622e-05       1.286623649119e+02 
       4.023142319411e-05       1.615908967774e+02 
       5.064836101171e-05       2.029450211776e+02 
       6.376250874337e-05       2.548788533287e+02 
       8.027224257678e-05       3.200954937531e+02 
       1.010567660416e-04       4.019852063376e+02 
       1.272229308035e-04       5.047967190080e+02 
       1.601641805515e-04       6.338479965182e+02 
       2.016347569554e-04       7.957825387383e+02 
       2.538431194322e-04       9.988754363079e+02 
       3.195695536622e-04       1.253388889237e+03 
       4.023142319411e-04       1.571968397593e+03 
       5.064836101171e-04       1.970058091199e+03 
       6.376250874337e-04       2.466296661793e+03 
       8.027224257678e-04       3.082826609636e+03 
       1.010567660416e-03       3.845371930837e+03 
       1.272229308035e-03       4.782779178158e+03 
       1.601641805515e-03       5.925892742596e+03 
       2.016347569554e-03       7.304585004851e+03 
       2.538431194322e-03       8.943864463613e+03 
       3.195695536622e-03       1.085752471884e+04 
       4.023142319411e-03       1.304033065201e+04 
       5.064836101171e-03       1.545744957519e+04 
       6.376250874337e-03       1.803058150651e+04 
       8.027224257678e-03       2.062123648296e+04 
       1.010567660416e-02       2.301426390068e+04 
       1.272229308035e-02       2.490285506160e+04 
       1.601641805514e-02       2.589677294322e+04 
       2.016347562739e-02       2.557268381115e+04 
       2.538424741695e-02       2.365901801074e+04 
       3.194628827247e-02       2.038429437089e+04 
       3.981580577258e-02       1.684091816162e+04 
       4.677599642333e-02       1.464173057555e+04 
       5.177660095752e-02       1.354938448672e+04 
       5.584721633271e-02       1.285895613795e+04 
       5.945691002081e-02       1.232931374655e+04 
       6.281029015701e-02       1.186491477754e+04 
       6.601377331488e-02       1.142046693288e+04 
       6.913037478181e-02       1.097331867501e+04 
       7.220110083783e-02       1.051355231212e+04 
       7.525463792976e-02       1.003936808732e+04 
       7.831225801043e-02       9.554461073874e+03 
       8.139052119068e-02       9.066192496569e+03 
       8.450286640166e-02       8.584017142490e+03 
       8.766059828552e-02       8.117991566667e+03 
       9.087352632860e-02       7.677572648036e+03 
       9.415039365409e-02       7.270419949662e+03 
       9.749917321900e-02       6.901640703138e+03 
       1.009272773962e-01       6.573302052230e+03 
       1.044417091903e-01       6.284248802269e+03 
       1.080491730311e-01       6.030405209123e+03 
       1.117561568873e-01       5.805168532434e+03 
       1.155689936010e-01       5.600182286113e+03 
       1.194939069083e-01       5.406334008758e+03 
       1.235370460282e-01       5.214965368669e+03 
       1.277045116675e-01       5.019226214370e+03 
