# Matter power spectrum P(k) at redshift z=0
# for k=1.01057e-05 to 16.0343 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010567660416e-05       4.117231011313e+01 
       1.272229308035e-05       5.171024455241e+01 
       1.601641805515e-05       6.494526882286e+01 
       2.016347569554e-05       8.156762414107e+01 
       2.538431194322e-05       1.024441375697e+02 
       3.195695536622e-05       1.286633563429e+02 
       4.023142319411e-05       1.615921246543e+02 
       5.064836101171e-05       2.029465288780e+02 
       6.376250874337e-05       2.548806783652e+02 
       8.027224257678e-05       3.200976494891e+02 
       1.010567660416e-04       4.019876424528e+02 
       1.272229308035e-04       5.047992389686e+02 
       1.601641805515e-04       6.338500888377e+02 
       2.016347569554e-04       7.957830365962e+02 
       2.538431194322e-04       9.988718378071e+02 
       3.195695536622e-04       1.253376012314e+03 
       4.023142319411e-04       1.571935745631e+03 
       5.064836101171e-04       1.969984763927e+03 
       6.376250874337e-04       2.466141720128e+03 
       8.027224257678e-04       3.082511389557e+03 
       1.010567660416e-03       3.844749127121e+03 
       1.272229308035e-03       4.781582880178e+03 
       1.601641805515e-03       5.923667194793e+03 
       2.016347569554e-03       7.300602527014e+03 
       2.538431194322e-03       8.937055548450e+03 
       3.195695536622e-03       1.084642191174e+04 
       4.023142319411e-03       1.302299523079e+04 
       5.064836101171e-03       1.543151467642e+04 
       6.376250874337e-03       1.799328793098e+04 
       8.027224257678e-03       2.056924948068e+04 
       1.010567660416e-02       2.294384268278e+04 
       1.272229308035e-02       2.481119944376e+04 
       1.601641805514e-02       2.578456925184e+04 
       2.016347562739e-02       2.544335143999e+04 
       2.538424741695e-02       2.352316590412e+04 
       3.194628827247e-02       2.025444080948e+04 
       3.981580577258e-02       1.672509151740e+04 
       4.677599642333e-02       1.453681036515e+04 
       5.177660095752e-02       1.345047997160e+04 
       5.584721633271e-02       1.276416649675e+04 
       5.945691002081e-02       1.223792037379e+04 
       6.281029015701e-02       1.177668852946e+04 
       6.601377331488e-02       1.133541041640e+04 
       6.913037478181e-02       1.089154269138e+04 
       7.220110083783e-02       1.043520168076e+04 
       7.525463792976e-02       9.964573430702e+03 
       7.831225801043e-02       9.483307610383e+03 
       8.139052119068e-02       8.998700187825e+03 
       8.450286640166e-02       8.520131279993e+03 
       8.766059828552e-02       8.057584426081e+03 
       9.087352632860e-02       7.620453588488e+03 
       9.415039365409e-02       7.216352467618e+03 
       9.749917321900e-02       6.850363184735e+03 
       1.009272773962e-01       6.524549932761e+03 
       1.044417091903e-01       6.237775730260e+03 
       1.080491730311e-01       5.985999869547e+03 
       1.117561568873e-01       5.762666331931e+03 
       1.155689936010e-01       5.559470346922e+03 
       1.194939069083e-01       5.367348716922e+03 
       1.235370460282e-01       5.177682843275e+03 
       1.277045116675e-01       4.983646596813e+03 
       1.320023756000e-01       4.781393963309e+03 
       1.364366955195e-01       4.570766216362e+03 
       1.410135265619e-01       4.355195144416e+03 
       1.457389306891e-01       4.140696681193e+03 
       1.506189850002e-01       3.934182789729e+03 
       1.556597899476e-01       3.741643941465e+03 
       1.608674783866e-01       3.566651064931e+03 
       1.662482263543e-01       3.409658669522e+03 
       1.718082664509e-01       3.268193493845e+03 
       1.775539046845e-01       3.137798802384e+03 
       1.834915416318e-01       3.013632521918e+03 
       1.896276987603e-01       2.891539757020e+03 
       1.959690507613e-01       2.769467357826e+03 
       2.025224647541e-01       2.648085178433e+03 
       2.092950472515e-01       2.529922099042e+03 
       2.162941998311e-01       2.417680431501e+03 
       2.235276845488e-01       2.312978797121e+03 
       2.310037002701e-01       2.215926913246e+03 
       2.387309713042e-01       2.125394958657e+03 
       2.467188500118e-01       2.039655860003e+03 
       2.549774354666e-01       1.957341868446e+03 
       2.635177107849e-01       1.877976937109e+03 
       2.723517024664e-01       1.801806718451e+03 
       2.814926660438e-01       1.729342092362e+03 
       2.909553036075e-01       1.660799559471e+03 
       3.007560204461e-01       1.595930398512e+03 
       3.109132302784e-01       1.534261322187e+03 
       3.214477215414e-01       1.475400889440e+03 
       3.323831012581e-01       1.419151084437e+03 
       3.437463385582e-01       1.365426652632e+03 
       3.555684376407e-01       1.314136505683e+03 
       3.678852808264e-01       1.265127643671e+03 
       3.807386978859e-01       1.218191980755e+03 
       3.941778404354e-01       1.173155768226e+03 
       4.082609736903e-01       1.129872150006e+03 
       4.230578485129e-01       1.088191662000e+03 
       4.386528949487e-01       1.047960923125e+03 
       4.551496023343e-01       1.009012810471e+03 
       4.726766524971e-01       9.711790982827e+02 
       4.913967100151e-01       9.342818456535e+02 
       5.115193580385e-01       8.981307883871e+02 
       5.333207196332e-01       8.624952563710e+02 
       5.571742785298e-01       8.271141404764e+02 
       5.836013032536e-01       7.916621096743e+02 
       6.133573800399e-01       7.557116703123e+02 
       6.475895160587e-01       7.186775812265e+02 
       6.881408882246e-01       6.797014888669e+02 
       7.381886073417e-01       6.374425278540e+02 
       8.036874638760e-01       5.896669390232e+02 
       8.967878357531e-01       5.325349347673e+02 
       1.042610079571e+00       4.603583162149e+02 
       1.276826789716e+00       3.721534636143e+02 
       1.603502834263e+00       2.838628104083e+02 
       2.018601495903e+00       2.078032514196e+02 
       2.541268314073e+00       1.469155600226e+02 
       3.199267258501e+00       1.010842830886e+02 
       4.027638850848e+00       6.809164453975e+01 
       5.070496898862e+00       4.505951242205e+01 
       6.383377396401e+00       2.933758646509e+01 
       8.036196017402e+00       1.880246948221e+01 
       1.011697138047e+01       1.187018311331e+01 
       1.273651236126e+01       7.384849464657e+00 
       1.603431906923e+01       4.530013737825e+00 
