# Matter power spectrum P(k) at redshift z=0
# for k=1.01052e-05 to 16.0333 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010516862522e-05       4.117026186872e+01 
       1.272165357276e-05       5.170767174582e+01 
       1.601561296279e-05       6.494203813724e+01 
       2.016246214431e-05       8.156356591191e+01 
       2.538303595781e-05       1.024390392435e+02 
       3.195534899577e-05       1.286569542964e+02 
       4.022940089353e-05       1.615840831851e+02 
       5.064581508612e-05       2.029364272295e+02 
       6.375930361294e-05       2.548679877993e+02 
       8.026820755663e-05       3.200817076522e+02 
       1.010516862522e-04       4.019676097883e+02 
       1.272165357276e-04       5.047740571559e+02 
       1.601561296279e-04       6.338184195709e+02 
       2.016246214431e-04       7.957431765984e+02 
       2.538303595781e-04       9.988216074106e+02 
       3.195534899577e-04       1.253312589118e+03 
       4.022940089353e-04       1.571855417644e+03 
       5.064581508612e-04       1.969882529453e+03 
       6.375930361294e-04       2.466010620994e+03 
       8.026820755663e-04       3.082341341973e+03 
       1.010516862522e-03       3.844524896711e+03 
       1.272165357276e-03       4.781280569613e+03 
       1.601561296279e-03       5.923243769240e+03 
       2.016246214431e-03       7.299958299727e+03 
       2.538303595781e-03       8.936024224193e+03 
       3.195534899577e-03       1.084475221441e+04 
       4.022940089353e-03       1.302032428173e+04 
       5.064581508612e-03       1.542732786888e+04 
       6.375930361294e-03       1.798700233025e+04 
       8.026820755663e-03       2.056059295926e+04 
       1.010516862522e-02       2.293380748221e+04 
       1.272165357276e-02       2.480406629043e+04 
       1.601561296278e-02       2.578997306398e+04 
       2.016246207052e-02       2.548411673799e+04 
       2.538296748929e-02       2.363103672754e+04 
       3.194421423031e-02       2.044317004275e+04 
       3.980175554626e-02       1.696790246828e+04 
       4.672097630877e-02       1.480932200194e+04 
       5.169538474830e-02       1.374792217505e+04 
       5.574954477028e-02       1.309071914892e+04 
       5.934692648603e-02       1.259539960203e+04 
       6.269008499614e-02       1.216230036187e+04 
       6.588453677452e-02       1.174160317618e+04 
       6.899283500221e-02       1.130664001853e+04 
       7.205571976315e-02       1.084431238966e+04 
       7.510171033246e-02       1.035096213152e+04 
       7.815196632375e-02       9.829987699364e+03 
       8.122296805756e-02       9.290142344551e+03 
       8.432809506989e-02       8.743913549538e+03 
       8.747860594423e-02       8.205786477111e+03 
       9.068427312912e-02       7.690556074580e+03 
       9.395380897727e-02       7.211690297056e+03 
       9.729516012148e-02       6.779858162822e+03 
       1.007157158150e-01       6.401807167105e+03 
       1.042224582788e-01       6.079651118256e+03 
       1.078220728737e-01       5.810509954198e+03 
       1.115210297617e-01       5.586681107542e+03 
       1.153256449071e-01       5.396154894183e+03 
       1.192421258470e-01       5.223718475738e+03 
       1.232766060941e-01       5.052873651086e+03 
       1.274351710005e-01       4.868281974900e+03 
       1.317238772317e-01       4.658780574650e+03 
       1.361487675425e-01       4.419968599377e+03 
       1.407158822420e-01       4.155552744666e+03 
       1.454312685390e-01       3.876802584280e+03 
       1.503009888259e-01       3.599940546544e+03 
       1.553311288795e-01       3.342169149126e+03 
       1.605278069013e-01       3.117366634530e+03 
       1.658971842926e-01       2.932610707413e+03 
       1.714454790344e-01       2.786332232072e+03 
       1.771789825315e-01       2.668674829814e+03 
       1.831040807702e-01       2.564716834674e+03 
       1.892272806344e-01       2.457257971676e+03 
       1.955552422255e-01       2.333170927521e+03 
       2.020948180466e-01       2.189720380352e+03 
       2.088530999382e-01       2.035057118495e+03 
       2.158374747082e-01       1.883419594800e+03 
       2.230556894920e-01       1.748327573221e+03 
       2.305159280169e-01       1.637440783046e+03 
       2.382268991540e-01       1.549586183058e+03 
       2.461979394297e-01       1.474972952976e+03 
       2.544391315751e-01       1.400661612371e+03 
       2.629614417287e-01       1.318183054653e+03 
       2.717768786347e-01       1.227835985204e+03 
       2.808986791376e-01       1.137967414887e+03 
       2.903415255376e-01       1.058490281926e+03 
       3.001218020531e-01       9.929458040911e+02 
       3.102578998668e-01       9.371409585409e+02 
       3.207705832277e-01       8.832546195013e+02 
       3.316834331381e-01       8.261936741612e+02 
       3.430233907158e-01       7.678854841528e+02 
       3.548214300390e-01       7.137528031509e+02 
       3.671134011570e-01       6.668573969231e+02 
       3.799410995083e-01       6.245869270428e+02 
       3.933536406270e-01       5.829030886037e+02 
       4.074092525764e-01       5.410084948913e+02 
       4.221776492933e-01       5.013873691395e+02 
       4.377432264561e-01       4.654187135747e+02 
       4.542094456829e-01       4.316929994208e+02 
       4.717049748577e-01       3.984489210467e+02 
