# Matter power spectrum P(k) at redshift z=0
# for k=1.01052e-05 to 16.0333 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010516862522e-05       4.123282785780e+01 
       1.272165357276e-05       5.178625465792e+01 
       1.601561296279e-05       6.504075112567e+01 
       2.016246214431e-05       8.168758593478e+01 
       2.538303595781e-05       1.025948912007e+02 
       3.195534899577e-05       1.288528657414e+02 
       4.022940089353e-05       1.618304848792e+02 
       5.064581508612e-05       2.032466006771e+02 
       6.375930361294e-05       2.552589960761e+02 
       8.026820755663e-05       3.205757548836e+02 
       1.010516862522e-04       4.025942072002e+02 
       1.272165357276e-04       5.055736381179e+02 
       1.601561296279e-04       6.348487415256e+02 
       2.016246214431e-04       7.970911156041e+02 
       2.538303595781e-04       1.000625266573e+03 
       3.195534899577e-04       1.255802406807e+03 
       4.022940089353e-04       1.575427746181e+03 
       5.064581508612e-04       1.975221705902e+03 
       6.375930361294e-04       2.474267758848e+03 
       8.026820755663e-04       3.095353325858e+03 
       1.010516862522e-03       3.865039246616e+03 
       1.272165357276e-03       4.813195184301e+03 
       1.601561296279e-03       5.971620267309e+03 
       2.016246214431e-03       7.371256858102e+03 
       2.538303595781e-03       9.037455064215e+03 
       3.195534899577e-03       1.098283907308e+04 
       4.022940089353e-03       1.319764958884e+04 
       5.064581508612e-03       1.563799673315e+04 
       6.375930361294e-03       1.821297674724e+04 
       8.026820755663e-03       2.077110864554e+04 
       1.010516862522e-02       2.308312219342e+04 
       1.272165357276e-02       2.481294577358e+04 
       1.601561296278e-02       2.549234509609e+04 
       2.016246207052e-02       2.466042422146e+04 
       2.538296748929e-02       2.237444321087e+04 
       3.194421423031e-02       1.937758746765e+04 
       3.980175554626e-02       1.643017895258e+04 
       4.672097630877e-02       1.434589911830e+04 
       5.169538474830e-02       1.307055399835e+04 
       5.574954477028e-02       1.214350956704e+04 
       5.934692648603e-02       1.139411292804e+04 
       6.269008499614e-02       1.075264807393e+04 
       6.588453677452e-02       1.018443697615e+04 
       6.899283500221e-02       9.669786723104e+03 
       7.205571976315e-02       9.196453940577e+03 
       7.510171033246e-02       8.756314849785e+03 
       7.815196632375e-02       8.343709600278e+03 
       8.122296805756e-02       7.954542897008e+03 
       8.432809506989e-02       7.585760739924e+03 
       8.747860594423e-02       7.235028846155e+03 
       9.068427312912e-02       6.900525971995e+03 
       9.395380897727e-02       6.580806029932e+03 
       9.729516012148e-02       6.274703141824e+03 
       1.007157158150e-01       5.981264448720e+03 
       1.042224582788e-01       5.699701414326e+03 
       1.078220728737e-01       5.429353777710e+03 
       1.115210297617e-01       5.169662359484e+03 
       1.153256449071e-01       4.920148193286e+03 
       1.192421258470e-01       4.680396261158e+03 
       1.232766060941e-01       4.450042638087e+03 
       1.274351710005e-01       4.228764202627e+03 
       1.317238772317e-01       4.016270310156e+03 
       1.361487675425e-01       3.812295991552e+03 
       1.407158822420e-01       3.616596357299e+03 
       1.454312685390e-01       3.428941970701e+03 
       1.503009888259e-01       3.249115014303e+03 
       1.553311288795e-01       3.076906117443e+03 
       1.605278069013e-01       2.912111744768e+03 
       1.658971842926e-01       2.754532068670e+03 
       1.714454790344e-01       2.603969265159e+03 
       1.771789825315e-01       2.460226184370e+03 
       1.831040807702e-01       2.323105354850e+03 
       1.892272806344e-01       2.192408285944e+03 
       1.955552422255e-01       2.067935035821e+03 
       2.020948180466e-01       1.949484014427e+03 
       2.088530999382e-01       1.836851991517e+03 
       2.158374747082e-01       1.729834280350e+03 
       2.230556894920e-01       1.628225067808e+03 
       2.305159280169e-01       1.531817862100e+03 
       2.382268991540e-01       1.440406029784e+03 
       2.461979394297e-01       1.353783394924e+03 
       2.544391315751e-01       1.271744874637e+03 
       2.629614417287e-01       1.194087127201e+03 
       2.717768786347e-01       1.120609191222e+03 
       2.808986791376e-01       1.051113096871e+03 
       2.903415255376e-01       9.854044329851e+02 
       3.001218020531e-01       9.232928565717e+02 
       3.102578998668e-01       8.645925338853e+02 
       3.207705832277e-01       8.091225046878e+02 
       3.316834331381e-01       7.567069632981e+02 
       3.430233907158e-01       7.071754515720e+02 
       3.548214300390e-01       6.603629598279e+02 
       3.671134011570e-01       6.161099318195e+02 
       3.799410995083e-01       5.742621689550e+02 
       3.933536406270e-01       5.346706267973e+02 
       4.074092525764e-01       4.971910930305e+02 
       4.221776492933e-01       4.616837298946e+02 
       4.377432264561e-01       4.280124545180e+02 
       4.542094456829e-01       3.960441158921e+02 
       4.717049748577e-01       3.656474045705e+02 
       4.903924908703e-01       3.366913957104e+02 
       5.104816376077e-01       3.090435695359e+02 
       5.322486875600e-01       2.825670613804e+02 
       5.560674379104e-01       2.571167414126e+02 
       5.824597810725e-01       2.325334702927e+02 
       6.121825356377e-01       2.086354587559e+02 
       6.463851909260e-01       1.852050232695e+02 
       6.869161270787e-01       1.619683750776e+02 
       7.369639884762e-01       1.385672685824e+02 
       8.025106965031e-01       1.145356989788e+02 
       8.957710408621e-01       8.938436900121e+01 
       1.041974362033e+00       6.331831083073e+01 
       1.276641617245e+00       3.958640921298e+01 
       1.603400863246e+00       2.317905053013e+01 
       2.018477450196e+00       1.338761209733e+01 
       2.541112176407e+00       7.672221836253e+00 
       3.199070692850e+00       4.365307161322e+00 
       4.027391389355e+00       2.467132170040e+00 
       5.070185363299e+00       1.385648199012e+00 
       6.382985196364e+00       7.737270479153e-01 
       8.035702266809e+00       4.297144608044e-01 
       1.011634978530e+01       2.374671428043e-01 
       1.273572981931e+01       1.306237537382e-01 
       1.603333390727e+01       7.154652135042e-02 
