# Matter power spectrum P(k) at redshift z=0
# for k=1.01052e-05 to 16.0333 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010516862522e-05       4.116993784913e+01 
       1.272165357276e-05       5.170726534795e+01 
       1.601561296279e-05       6.494152882467e+01 
       2.016246214431e-05       8.156292843603e+01 
       2.538303595781e-05       1.024382429751e+02 
       3.195534899577e-05       1.286559629191e+02 
       4.022940089353e-05       1.615828553728e+02 
       5.064581508612e-05       2.029349196048e+02 
       6.375930361294e-05       2.548661628472e+02 
       8.026820755663e-05       3.200795520002e+02 
       1.010516862522e-04       4.019651737353e+02 
       1.272165357276e-04       5.047715371872e+02 
       1.601561296279e-04       6.338163270701e+02 
       2.016246214431e-04       7.957426781727e+02 
       2.538303595781e-04       9.988252045237e+02 
       3.195534899577e-04       1.253325462963e+03 
       4.022940089353e-04       1.571888063106e+03 
       5.064581508612e-04       1.969955843389e+03 
       6.375930361294e-04       2.466165535846e+03 
       8.026820755663e-04       3.082656509024e+03 
       1.010516862522e-03       3.845147597370e+03 
       1.272165357276e-03       4.782476671406e+03 
       1.601561296279e-03       5.925468950234e+03 
       2.016246214431e-03       7.303940091009e+03 
       2.538303595781e-03       8.942831876411e+03 
       3.195534899577e-03       1.085585273250e+04 
       4.022940089353e-03       1.303765557644e+04 
       5.064581508612e-03       1.545325546545e+04 
       6.375930361294e-03       1.802428376189e+04 
       8.026820755663e-03       2.061256256122e+04 
       1.010516862522e-02       2.300421255906e+04 
       1.272165357276e-02       2.489573490157e+04 
       1.601561296278e-02       2.590227797351e+04 
       2.016246207052e-02       2.561388710794e+04 
       2.538296748929e-02       2.376807388265e+04 
       3.194421423031e-02       2.057536116639e+04 
       3.980175554626e-02       1.708731968034e+04 
       4.672097630877e-02       1.491898665308e+04 
       5.169538474830e-02       1.385259399090e+04 
       5.574954477028e-02       1.319226808940e+04 
       5.934692648603e-02       1.269450799519e+04 
       6.269008499614e-02       1.225911848333e+04 
       6.588453677452e-02       1.183599790627e+04 
       6.899283500221e-02       1.139832159512e+04 
       7.205571976315e-02       1.093291805524e+04 
       7.510171033246e-02       1.043611992246e+04 
       7.815196632375e-02       9.911366652462e+03 
       8.122296805756e-02       9.367494069723e+03 
       8.432809506989e-02       8.817103293653e+03 
       8.747860594423e-02       8.274809963423e+03 
       9.068427312912e-02       7.755542230481e+03 
       9.395380897727e-02       7.272890886315e+03 
