# Matter power spectrum P(k) at redshift z=0
# for k=1.01052e-05 to 16.0333 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010516862522e-05       4.117026187079e+01 
       1.272165357276e-05       5.170767175012e+01 
       1.601561296279e-05       6.494203814613e+01 
       2.016246214431e-05       8.156356593026e+01 
       2.538303595781e-05       1.024390392813e+02 
       3.195534899577e-05       1.286569543739e+02 
       4.022940089353e-05       1.615840833437e+02 
       5.064581508612e-05       2.029364275527e+02 
       6.375930361294e-05       2.548679884545e+02 
       8.026820755663e-05       3.200817089723e+02 
       1.010516862522e-04       4.019676124272e+02 
       1.272165357276e-04       5.047740623796e+02 
       1.601561296279e-04       6.338184297806e+02 
       2.016246214431e-04       7.957431962193e+02 
       2.538303595781e-04       9.988216442549e+02 
       3.195534899577e-04       1.253312656040e+03 
       4.022940089353e-04       1.571855533137e+03 
       5.064581508612e-04       1.969882712029e+03 
       6.375930361294e-04       2.466010861155e+03 
       8.026820755663e-04       3.082341505248e+03 
       1.010516862522e-03       3.844524431661e+03 
       1.272165357276e-03       4.781277693145e+03 
       1.601561296279e-03       5.923233306145e+03 
       2.016246214431e-03       7.299926179173e+03 
       2.538303595781e-03       8.935933927474e+03 
       3.195534899577e-03       1.084451247412e+04 
       4.022940089353e-03       1.301971457269e+04 
       5.064581508612e-03       1.542583261394e+04 
       6.375930361294e-03       1.798345756408e+04 
       8.026820755663e-03       2.055247461776e+04 
       1.010516862522e-02       2.291590824939e+04 
       1.272165357276e-02       2.476634342319e+04 
       1.601561296278e-02       2.571596216259e+04 
       2.016246207052e-02       2.534535760420e+04 
       2.538296748929e-02       2.339546411411e+04 
       3.194421423031e-02       2.010684922398e+04 
       3.980175554626e-02       1.657936535636e+04 
       4.672097630877e-02       1.440751560575e+04 
       5.169538474830e-02       1.332910989878e+04 
       5.574954477028e-02       1.264713918362e+04 
       5.934692648603e-02       1.212406535009e+04 
       6.269008499614e-02       1.166553072139e+04 
       6.588453677452e-02       1.122668403542e+04 
       6.899283500221e-02       1.078513235667e+04 
       7.205571976315e-02       1.033102396996e+04 
       7.510171033246e-02       9.862585303979e+03 
       7.815196632375e-02       9.383510025272e+03 
       8.122296805756e-02       8.901138007435e+03 
       8.432809506989e-02       8.424892600506e+03 
       8.747860594423e-02       7.964812530710e+03 
       9.068427312912e-02       7.530279123833e+03 
       9.395380897727e-02       7.128937133662e+03 
       9.729516012148e-02       6.765868370962e+03 
       1.007157158150e-01       6.443113645293e+03 
