# Matter power spectrum P(k) at redshift z=0
# for k=1.01052e-05 to 16.0333 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.010516862522e-05       4.116993785121e+01 
       1.272165357276e-05       5.170726535225e+01 
       1.601561296279e-05       6.494152883357e+01 
       2.016246214431e-05       8.156292845438e+01 
       2.538303595781e-05       1.024382430128e+02 
       3.195534899577e-05       1.286559629967e+02 
       4.022940089353e-05       1.615828555314e+02 
       5.064581508612e-05       2.029349199281e+02 
       6.375930361294e-05       2.548661635024e+02 
       8.026820755663e-05       3.200795533204e+02 
       1.010516862522e-04       4.019651763744e+02 
       1.272165357276e-04       5.047715424115e+02 
       1.601561296279e-04       6.338163372810e+02 
       2.016246214431e-04       7.957426977962e+02 
       2.538303595781e-04       9.988252413734e+02 
       3.195534899577e-04       1.253325529897e+03 
       4.022940089353e-04       1.571888178620e+03 
       5.064581508612e-04       1.969956026003e+03 
       6.375930361294e-04       2.466165776064e+03 
       8.026820755663e-04       3.082656672325e+03 
       1.010516862522e-03       3.845147132016e+03 
       1.272165357276e-03       4.782473792980e+03 
       1.601561296279e-03       5.925458478369e+03 
       2.016246214431e-03       7.303907936501e+03 
       2.538303595781e-03       8.942741459922e+03 
       3.195534899577e-03       1.085561259891e+04 
       4.022940089353e-03       1.303704464760e+04 
       5.064581508612e-03       1.545175661673e+04 
       6.375930361294e-03       1.802072887982e+04 
       8.026820755663e-03       2.060441674448e+04 
       1.010516862522e-02       2.298624112635e+04 
       1.272165357276e-02       2.485783064777e+04 
       1.601561296278e-02       2.582786548924e+04 
       2.016246207052e-02       2.547419425226e+04 
       2.538296748929e-02       2.353059022608e+04 
       3.194421423031e-02       2.023578417917e+04 
       3.980175554626e-02       1.669422450501e+04 
       4.672097630877e-02       1.451154897586e+04 
       5.169538474830e-02       1.342718140367e+04 
       5.574954477028e-02       1.274113187030e+04 
       5.934692648603e-02       1.221469099728e+04 
       6.269008499614e-02       1.175301494874e+04 
       6.588453677452e-02       1.131102156856e+04 
       6.899283500221e-02       1.086621057631e+04 
       7.205571976315e-02       1.040869640378e+04 
       7.510171033246e-02       9.936719874056e+03 
       7.815196632375e-02       9.454020340368e+03 
       8.122296805756e-02       8.968003440120e+03 
       8.432809506989e-02       8.488167735696e+03 
       8.747860594423e-02       8.024625588347e+03 
       9.068427312912e-02       7.586821446518e+03 
       9.395380897727e-02       7.182446443199e+03 
       9.729516012148e-02       6.816607844463e+03 
       1.007157158150e-01       6.491349464153e+03 
       1.042224582788e-01       6.205531863266e+03 
       1.078220728737e-01       5.955004009114e+03 
       1.115210297617e-01       5.733126325071e+03 
       1.153256449071e-01       5.531487769908e+03 
       1.192421258470e-01       5.340889817550e+03 
       1.232766060941e-01       5.152616641215e+03 
       1.274351710005e-01       4.959733026120e+03 
       1.317238772317e-01       4.758341980591e+03 
       1.361487675425e-01       4.548304633136e+03 
       1.407158822420e-01       4.333105526766e+03 
       1.454312685390e-01       4.118872569712e+03 
       1.503009888259e-01       3.912632030844e+03 
       1.553311288795e-01       3.720467925265e+03 
       1.605278069013e-01       3.546008044054e+03 
       1.658971842926e-01       3.389715753643e+03 
       1.714454790344e-01       3.249056753638e+03 
       1.771789825315e-01       3.119507257762e+03 
       1.831040807702e-01       2.996131092985e+03 
       1.892272806344e-01       2.874702500545e+03 
       1.955552422255e-01       2.753127099319e+03 
       2.020948180466e-01       2.632105517706e+03 
       2.088530999382e-01       2.514217136950e+03 
       2.158374747082e-01       2.402245082140e+03 
       2.230556894920e-01       2.297847157873e+03 
       2.305159280169e-01       2.201129861496e+03 
       2.382268991540e-01       2.110946702669e+03 
       2.461979394297e-01       2.025531118031e+03 
       2.544391315751e-01       1.943489764805e+03 
       2.629614417287e-01       1.864335546960e+03 
       2.717768786347e-01       1.788347346801e+03 
       2.808986791376e-01       1.716046052933e+03 
       2.903415255376e-01       1.647662597091e+03 
       3.001218020531e-01       1.582956472898e+03 
       3.102578998668e-01       1.521437347292e+03 
       3.207705832277e-01       1.462711973597e+03 
       3.316834331381e-01       1.406583642344e+03 
       3.430233907158e-01       1.352975043131e+03 
       3.548214300390e-01       1.301798249390e+03 
       3.671134011570e-01       1.252900184470e+03 
       3.799410995083e-01       1.206075251746e+03 
       3.933536406270e-01       1.161147820230e+03 
       4.074092525764e-01       1.117975460981e+03 
       4.221776492933e-01       1.076410102305e+03 
       4.377432264561e-01       1.036296779005e+03 
       4.542094456829e-01       9.974735898823e+02 
       4.717049748577e-01       9.597698366614e+02 
       4.903924908703e-01       9.230127084750e+02 
       5.104816376077e-01       8.870110501105e+02 
       5.322486875600e-01       8.515385433652e+02 
       5.560674379104e-01       8.163355228481e+02 
       5.824597810725e-01       7.810810400346e+02 
       6.121825356377e-01       7.453522028168e+02 
       6.463851909260e-01       7.085711934963e+02 
       6.869161270787e-01       6.698905561195e+02 
       7.369639884762e-01       6.279877330889e+02 
       8.025106965031e-01       5.806611641863e+02 
       8.957710408621e-01       5.241343597652e+02 
       1.041974362033e+00       4.528544104637e+02 
       1.276641617245e+00       3.660393860991e+02 
       1.603400863246e+00       2.793921469419e+02 
       2.018477450196e+00       2.047237963375e+02 
       2.541112176407e+00       1.448572868560e+02 
       3.199070692850e+00       9.972834022893e+01 
       4.027391389355e+00       6.720857778964e+01 
       5.070185363299e+00       4.449154251996e+01 
       6.382985196364e+00       2.897857543231e+01 
       8.035702266809e+00       1.857936551314e+01 
       1.011634978530e+01       1.173395232661e+01 
       1.273572981931e+01       7.303010460619e+00 
       1.603333390727e+01       4.481620883097e+00 
